sample_id,group,latency_ms
S0219,A,74.943
S0220,A,150.384
S0221,A,67.736
S0222,A,69.501
S0223,A,169.412
S0224,A,86.906
S0225,A,154.830
S0226,A,174.830
S0227,A,112.893
S0228,A,98.127
S0229,A,104.884
S0230,A,90.710
S0231,A,84.327
S0232,A,114.345
S0233,A,94.943
S0234,A,75.275
S0235,A,118.166
S0236,A,56.270
S0237,A,129.215
S0238,A,97.624
S0239,A,129.970
S0240,A,56.887
S0241,A,71.901
S0242,A,73.728
S0243,A,63.708
S0244,A,131.575
S0245,A,121.777
S0246,A,143.550
S0247,A,78.876
S0248,A,173.041
S0249,A,83.004
S0250,A,199.798
S0251,A,83.363
S0252,A,119.290
S0253,A,112.754
S0254,A,107.521
S0255,A,106.357
S0256,A,66.268
S0257,A,77.392
S0258,A,102.622
S0259,A,100.481
S0260,A,77.972
S0261,A,126.741
S0262,A,82.444
S0263,A,79.953
S0264,A,234.097
S0265,A,94.429
S0266,A,179.329
S0267,A,148.472
S0268,A,134.567
S0269,A,108.165
S0270,A,102.408
S0271,A,118.748
S0272,A,80.598
S0273,A,68.674
S0274,A,99.564
S0275,A,102.898
S0276,A,105.104
S0277,A,120.777
S0278,A,123.789
S0279,A,181.678
S0280,A,64.398
S0281,A,125.252
S0282,A,87.179
S0283,A,76.618
S0284,A,72.356
S0285,A,94.160
S0286,A,87.093
S0287,A,109.893
S0288,A,62.896
S0289,A,43.591
S0290,A,103.928
S0291,A,112.494
S0292,A,77.759
S0293,A,89.024
S0294,A,78.191
S0295,A,137.589
S0296,A,115.798
S0297,A,104.507
S0298,A,138.012
S0299,A,139.912
S0300,A,113.668
S0301,A,112.049
S0302,A,116.648
S0303,A,117.539
S0304,A,79.267
S0305,A,51.384
S0306,A,163.622
S0307,A,190.784
S0308,A,147.611
S0309,A,82.679
S0310,A,127.275
S0311,A,125.200
S0312,A,121.583
S0313,A,178.924
S0314,A,96.918
S0315,A,64.064
S0316,A,112.442
S0317,A,76.091
S0318,A,75.935
S0319,A,121.036
S0320,A,63.987
S0321,A,101.894
S0322,A,77.807
S0323,A,155.841
S0324,A,112.093
S0325,A,156.824
S0326,A,101.376
S0327,A,134.994
S0328,A,99.334
S0329,A,73.315
S0330,A,90.829
S0331,A,57.765
S0332,A,91.045
S0333,A,120.118
S0334,A,86.833
S0335,A,71.476
S0336,A,109.921
S0337,A,103.523
S0338,A,122.800
S0339,A,128.167
S0340,A,75.602
S0341,A,48.657
S0342,A,118.548
S0343,A,88.570
S0344,A,81.265
S0345,A,58.607
S0346,A,64.980
S0347,A,101.200
S0348,A,97.302
S0349,A,143.408
S0350,A,63.616
S0351,A,38.475
S0352,A,123.061
S0353,A,107.300
S0354,A,175.636
S0355,A,108.915
S0356,A,134.158
S0357,A,94.914
S0358,A,57.461
S0359,A,103.201
S0360,A,84.559
S0361,A,80.973
S0362,A,138.263
S0363,A,91.160
S0364,A,146.036
S0365,A,142.402
S0366,A,88.411
S0367,A,115.316
S0368,A,176.448
S0369,A,176.029
S0370,A,125.195
S0371,A,70.563
S0372,A,57.004
S0373,A,57.105
S0374,A,79.869
S0375,A,108.747
S0376,A,128.910
S0377,A,98.112
S0378,A,87.673
S0379,A,173.356
S0380,A,69.485
S0381,A,68.552
S0382,A,137.798
S0383,A,95.170
S0384,A,93.093
S0385,A,67.736
S0386,A,79.304
S0387,A,165.443
S0388,A,181.271
S0389,A,98.291
S0390,A,76.021
S0391,A,121.081
S0392,A,75.662
S0393,A,83.628
S0394,A,111.340
S0395,A,80.258
S0396,A,136.550
S0397,A,81.599
S0398,A,123.942
S0399,A,97.752
S0400,A,121.552
S0401,A,85.605
S0402,A,123.132
S0403,A,151.947
S0404,A,199.369
S0405,A,116.745
S0406,A,85.101
S0407,A,107.809
S0408,A,82.801
S0409,A,115.400
S0410,A,109.036
S0411,A,89.007
S0412,A,79.580
S0413,A,95.935
S0414,A,80.915
S0415,A,98.453
S0416,A,170.419
S0417,A,121.052
S0418,A,125.039
S0419,A,78.981
S0420,B,75.264
S0421,B,111.412
S0422,B,70.045
S0423,B,72.084
S0424,B,81.195
S0425,B,102.924
S0426,B,114.146
S0427,B,66.136
S0428,B,117.840
S0429,B,63.488
S0430,B,90.118
S0431,B,83.476
S0432,B,79.751
S0433,B,48.992
S0434,B,115.068
S0435,B,91.304
S0436,B,151.507
S0437,B,51.525
S0438,B,46.339
S0439,B,128.260
S0440,B,109.625
S0441,B,68.290
S0442,B,161.638
S0443,B,121.426
S0444,B,61.336
S0445,B,116.105
S0446,B,82.256
S0447,B,40.343
S0448,B,141.256
S0449,B,150.431
S0450,B,104.698
S0451,B,75.995
S0452,B,42.513
S0453,B,79.619
S0454,B,98.123
S0455,B,48.689
S0456,B,94.079
S0457,B,133.305
S0458,B,87.346
S0459,B,68.574
S0460,B,102.864
S0461,B,62.417
S0462,B,71.930
S0463,B,50.744
S0464,B,48.952
S0465,B,103.834
S0466,B,106.669
S0467,B,98.328
S0468,B,73.259
S0469,B,61.900
S0470,B,58.969
S0471,B,94.369
S0472,B,83.682
S0473,B,53.622
S0474,B,130.718
S0475,B,66.685
S0476,B,74.668
S0477,B,55.444
S0478,B,128.176
S0479,B,121.421
S0480,B,103.988
S0481,B,100.221
S0482,B,68.767
S0483,B,156.859
S0484,B,193.500
S0485,B,44.736
S0486,B,110.722
S0487,B,101.562
S0488,B,76.906
S0489,B,82.755
S0490,B,62.135
S0491,B,56.773
S0492,B,287.208
S0493,B,33.824
S0494,B,55.117
S0495,B,99.186
S0496,B,272.580
S0497,B,139.605
S0498,B,86.454
S0499,B,76.657
S0500,B,94.293
S0501,B,169.150
S0502,B,62.921
S0503,B,121.717
S0504,B,79.186
S0505,B,72.385
S0506,B,125.884
S0507,B,75.658
S0508,B,88.588
S0509,B,100.977
S0510,B,39.934
S0511,B,97.550
S0512,B,79.107
S0513,B,118.701
S0514,B,74.654
S0515,B,121.341
S0516,B,63.814
S0517,B,91.405
S0518,B,103.804
S0519,B,87.203
S0520,B,65.503
S0521,B,78.202
S0522,B,60.663
S0523,B,135.637
S0524,B,91.665
S0525,B,188.426
S0526,B,66.579
S0527,B,42.970
S0528,B,94.421
S0529,B,147.520
S0530,B,142.983
S0531,B,69.294
S0532,B,113.743
S0533,B,75.603
S0534,B,67.141
S0535,B,137.165
S0536,B,119.224
S0537,B,128.991
S0538,B,29.876
S0539,B,77.599
S0540,B,98.611
S0541,B,80.440
S0542,B,112.284
S0543,B,106.124
S0544,B,88.793
S0545,B,112.100
S0546,B,82.831
S0547,B,141.752
S0548,B,69.613
S0549,B,71.593
S0550,B,85.573
S0551,B,93.880
S0552,B,57.864
S0553,B,87.773
S0554,B,70.359
S0555,B,136.172
S0556,B,67.449
S0557,B,92.626
S0558,B,91.000
S0559,B,133.940
S0560,B,30.985
S0561,B,85.941
S0562,B,72.769
S0563,B,86.865
S0564,B,187.459
S0565,B,136.830
S0566,B,82.470
S0567,B,76.553
S0568,B,114.964
S0569,B,173.558
S0570,B,94.312
S0571,B,92.304
S0572,B,70.894
S0573,B,124.528
S0574,B,78.520
S0575,B,80.621
S0576,B,59.550
S0577,B,88.813
S0578,B,72.923
S0579,B,54.099
S0580,B,68.189
S0581,B,68.293
S0582,B,66.060
S0583,B,85.977
S0584,B,53.817
S0585,B,64.470
S0586,B,40.030
S0587,B,179.760
S0588,B,150.614
S0589,B,75.443
S0590,B,126.804
S0591,B,71.483
S0592,B,72.311
S0593,B,136.642
S0594,B,66.056
S0595,B,70.421
S0596,B,156.905
S0597,B,93.919
S0598,B,49.921
S0599,B,71.539
S0600,B,107.422
S0601,B,162.543
S0602,B,116.077
S0603,B,150.551
S0604,B,119.010
S0605,B,49.836
S0606,B,46.527
S0607,B,65.332
S0608,B,133.150
S0609,B,70.518
S0610,B,86.823
S0611,B,82.914
S0612,B,167.291
S0613,B,50.307
S0614,B,64.581
S0615,B,103.243
S0616,B,57.833
S0617,B,71.455
S0618,B,73.807
S0619,B,146.955
S0620,B,71.141
S0621,B,54.962
S0622,B,141.437
S0623,B,155.948
S0624,B,140.510
S0625,B,78.296
S0626,B,35.201
S0627,B,115.212
S0628,B,167.181
S0629,B,194.957
S0630,B,93.994
S0631,B,49.769
S0632,B,160.469
S0633,B,91.089
S0634,B,49.269
S0635,B,56.309
S0636,B,72.668
S0637,B,63.649
S0638,B,157.070
S0639,B,84.950
S0640,B,110.396
S0641,B,76.388
S0642,B,122.983
S0643,B,107.349
S0644,B,74.080
S0645,B,159.686
S0646,B,31.050
S0647,B,47.793
S0648,B,70.363
S0649,B,116.067
S0650,B,60.421
S0651,B,137.033
S0652,B,135.629
S0653,B,116.321
S0654,B,141.011
S0655,B,214.119
S0656,B,71.582
S0657,B,57.677
S0658,B,154.367
S0659,B,138.772
S0660,B,81.515
S0661,B,81.491
S0662,B,156.601
S0663,B,96.354
S0664,B,106.387
S0665,B,162.488
S0666,B,148.385
S0667,B,94.781
S0668,B,74.580
S0669,B,117.017
S0670,B,74.727
S0671,B,114.673
S0672,B,56.062
S0673,B,138.208
S0674,B,53.258
S0675,B,63.064
S0676,B,115.598
S0677,B,126.936
S0678,B,108.354
S0679,B,91.707
S0680,B,254.318
S0681,B,54.745
S0682,B,80.174
S0683,B,65.613
S0684,B,62.228
S0685,B,127.419
S0686,B,92.774
S0687,B,111.436
S0688,B,56.109
S0689,B,57.684
S0690,B,127.778
S0691,B,122.229
S0692,B,276.657
S0693,B,54.023
S0694,B,103.345
S0695,B,65.109
S0696,B,66.882
S0697,B,138.713
S0698,B,147.779
S0699,B,118.458
S0700,B,60.671
S0701,B,222.317
S0702,B,119.567
S0703,B,63.264
S0704,B,82.928
S0705,B,85.153
S0706,B,133.076
S0707,B,146.875
S0708,B,39.441
S0709,B,76.149
S0710,B,112.104
S0711,B,209.347
S0712,B,63.031
S0713,B,177.804
S0714,B,178.489
S0715,B,69.706
S0716,B,82.763
S0717,B,59.196
S0718,B,130.461
S0719,B,119.330
S0720,B,74.205
S0721,B,122.681
S0722,B,112.634
S0723,B,79.145
S0724,B,55.569
S0725,B,67.014
S0726,B,107.684
S0727,B,76.947
S0728,B,104.093
S0729,B,88.950
S0730,B,181.354
S0731,B,89.888
S0732,B,39.486
S0733,B,128.091
S0734,B,38.822
S0735,B,210.402
S0736,B,134.966
S0737,B,89.828
S0738,B,78.848
S0739,B,41.766
S0740,B,70.801
S0741,B,125.594
S0742,B,109.075
S0743,B,65.413
S0744,B,71.382
S0745,B,107.916
S0746,B,142.838
S0747,B,97.546
S0748,B,118.277
S0749,B,86.520
S0750,B,70.293
S0751,B,63.696
S0752,B,29.080
S0753,B,117.272
S0754,B,55.452
S0755,B,181.333
S0756,B,86.541
S0757,B,127.651
S0758,B,107.398
S0759,B,99.469
S0760,B,175.938
S0761,B,74.440
S0762,B,89.979
S0763,B,149.490
S0764,B,77.178
S0765,B,242.434
S0766,B,91.936
S0767,B,106.554
S0768,B,65.909
S0769,B,105.899
S0770,B,101.130
S0771,B,100.885
S0772,B,68.659
S0773,B,38.840
S0774,B,106.056
S0775,B,133.909
S0776,B,129.834
S0777,B,24.617
S0778,B,122.563
S0779,B,86.336
S0780,B,81.358
S0781,B,48.357
S0782,B,56.567
S0783,B,96.407
S0784,B,83.715
S0785,B,59.499
S0786,B,71.731
S0787,B,101.876
S0788,B,71.955
S0789,B,104.974
S0790,B,40.518
S0791,B,49.149
S0792,B,85.302
S0793,B,157.154
S0794,B,124.682
S0795,B,96.857
S0796,B,72.672
S0797,B,84.086
S0798,B,94.815
S0799,B,78.627
