reading_id,temp_c
R0686,20.7247
R0687,23.7185
R0688,22.9316
R0689,21.3762
R0690,20.6561
R0691,21.9572
R0692,20.0915
R0693,21.7164
R0694,20.5748
R0695,28.5058
R0696,20.1979
R0697,21.1812
R0698,21.1776
R0699,17.7090
R0700,19.0891
R0701,20.7902
R0702,23.2753
R0703,22.7976
R0704,24.6320
R0705,20.9099
R0706,19.7718
R0707,23.1865
R0708,19.0654
R0709,20.4442
R0710,20.9132
R0711,23.5621
R0712,20.1462
R0713,19.8622
R0714,18.1388
R0715,22.0031
R0716,19.8943
R0717,22.6055
R0718,18.2001
R0719,23.3561
R0720,25.2754
R0721,19.3469
R0722,20.0844
R0723,22.1620
R0724,22.7127
R0725,20.0656
R0726,21.5865
R0727,22.2193
R0728,22.7353
R0729,24.0916
R0730,19.2939
R0731,21.8927
R0732,20.6136
R0733,23.3000
R0734,22.4961
R0735,21.9557
R0736,21.0582
R0737,23.9678
R0738,21.3857
R0739,24.1149
R0740,21.2234
R0741,23.5928
R0742,20.7673
R0743,23.3812
R0744,22.5737
R0745,23.2861
R0746,20.8297
R0747,19.0196
R0748,22.6949
R0749,24.1439
R0750,25.4486
R0751,24.4615
R0752,24.0443
R0753,21.9508
R0754,24.3869
R0755,22.9760
R0756,20.3633
R0757,21.3576
R0758,19.6697
R0759,21.6961
R0760,18.7250
R0761,25.6655
R0762,24.2743
R0763,24.3981
R0764,20.4350
R0765,18.9635
R0766,21.2889
R0767,20.2255
R0768,21.8118
R0769,19.2513
R0770,21.7951
R0771,30.1448
R0772,24.4491
R0773,28.4192
R0774,23.3270
R0775,23.7277
R0776,22.7546
R0777,23.4380
R0778,23.8515
R0779,23.2265
R0780,20.7213
R0781,19.1412
R0782,28.8047
R0783,19.1233
R0784,23.1289
R0785,23.3017
R0786,21.4345
R0787,21.9893
R0788,20.5327
R0789,22.3252
R0790,21.0717
R0791,24.8869
R0792,19.8295
R0793,23.0584
R0794,22.6111
R0795,19.3764
R0796,19.4529
R0797,20.9294
R0798,18.0387
R0799,21.1732
R0800,18.3091
R0801,20.3986
R0802,20.2878
R0803,21.7321
R0804,25.9430
R0805,21.3986
R0806,19.5727
R0807,20.3115
R0808,20.9753
R0809,18.3467
R0810,22.1051
R0811,19.8166
R0812,19.5368
R0813,21.4973
R0814,21.3902
R0815,23.7352
R0816,22.8846
R0817,21.3838
R0818,20.1288
R0819,21.6674
R0820,19.4247
R0821,22.0046
R0822,28.5042
R0823,22.2676
R0824,20.9993
R0825,19.2455
R0826,22.7441
R0827,20.1635
R0828,21.0265
R0829,20.4081
R0830,20.3566
R0831,20.4381
R0832,26.3367
R0833,20.8253
R0834,21.4470
R0835,21.6842
R0836,20.2361
R0837,22.2252
R0838,20.2086
R0839,20.0734
R0840,22.5924
R0841,22.3189
R0842,23.2499
R0843,25.2004
R0844,22.5458
R0845,22.1534
R0846,20.1567
R0847,22.5738
R0848,24.9351
R0849,21.3797
R0850,20.5122
R0851,22.3518
R0852,23.6828
R0853,21.6593
R0854,23.5525
R0855,21.7921
R0856,23.4376
R0857,24.6206
R0858,19.4498
R0859,20.8343
R0860,21.5763
R0861,23.7608
R0862,21.0535
R0863,21.5440
R0864,22.7853
R0865,22.1157
R0866,24.4553
R0867,19.8934
R0868,20.1512
R0869,21.2155
R0870,17.6327
R0871,19.5168
R0872,19.9791
R0873,22.0043
R0874,22.5879
R0875,22.0304
R0876,22.1835
R0877,18.7041
R0878,24.8747
R0879,25.3202
R0880,20.2156
R0881,21.0280
R0882,21.0539
R0883,21.2958
R0884,22.9330
R0885,23.5081
R0886,23.0790
R0887,22.4559
R0888,20.1143
R0889,21.4094
R0890,19.3089
R0891,20.7052
R0892,18.6650
R0893,20.3039
R0894,19.7746
R0895,20.4279
R0896,23.6093
R0897,21.6629
R0898,18.7337
R0899,18.3700
