order_id,customer_id,amount,order_day
O0109,C043,10.50,49
O0110,C011,29.03,88
O0111,C032,29.62,184
O0112,C074,36.83,244
O0113,C029,89.76,339
O0114,C019,15.70,161
O0115,C090,39.27,251
O0116,C049,68.18,102
O0117,C040,62.43,191
O0118,C902,38.30,112
O0119,C020,65.95,311
O0120,C047,45.11,352
O0121,C036,54.24,168
O0122,C025,16.13,282
O0123,C041,130.41,21
O0124,C066,29.58,301
O0125,C058,92.22,89
O0126,C077,20.27,90
O0127,C081,31.26,234
O0128,C073,18.65,155
O0129,C063,34.85,83
O0130,C053,234.13,231
O0131,C031,33.71,279
O0132,C056,123.90,135
O0133,C039,44.16,99
O0134,C011,40.30,33
O0135,C042,7.08,281
O0136,C088,12.53,123
O0137,C041,87.28,227
O0138,C082,16.34,86
O0139,C043,59.29,42
O0140,C084,109.59,176
O0141,C003,15.79,20
O0142,C956,16.94,344
O0143,C027,6.24,6
O0144,C074,14.93,32
O0145,C072,18.90,59
O0146,C086,23.68,75
O0147,C001,10.12,227
O0148,C002,78.18,330
O0149,C908,57.55,295
O0150,C013,16.16,54
O0151,C074,49.47,220
O0152,C086,61.96,337
O0153,C017,16.00,30
O0154,C050,6.74,206
O0155,C038,17.85,19
O0156,C941,26.94,34
O0157,C014,36.12,187
O0158,C086,45.34,14
O0159,C004,55.97,53
O0160,C019,10.53,103
O0161,C055,12.43,34
O0162,C038,32.26,187
O0163,C927,66.34,318
O0164,C002,16.25,183
O0165,C071,30.20,177
O0166,C027,68.05,26
O0167,C048,46.22,6
O0168,C032,38.27,136
O0169,C035,43.59,346
O0170,C079,61.95,48
O0171,C035,38.52,145
O0172,C031,29.11,6
O0173,C004,19.64,283
O0174,C033,60.89,27
O0175,C081,58.05,291
O0176,C005,25.65,222
O0177,C011,15.94,53
O0178,C049,27.67,251
O0179,C069,67.30,282
O0180,C023,5.18,285
O0181,C031,56.18,169
O0182,C014,20.51,18
O0183,C006,31.77,234
O0184,C031,32.66,33
O0185,C080,41.08,233
O0186,C055,29.09,2
O0187,C073,29.19,353
O0188,C028,19.56,230
O0189,C074,31.45,216
O0190,C083,88.71,155
O0191,C048,26.61,166
O0192,C002,12.30,363
O0193,C057,16.75,228
O0194,C061,45.27,36
O0195,C068,43.58,308
O0196,C023,24.96,361
O0197,C062,41.11,246
O0198,C908,40.06,290
O0199,C072,14.80,206
O0200,C033,5.67,125
O0201,C067,32.87,98
O0202,C088,21.72,322
O0203,C042,25.69,81
O0204,C033,12.01,160
O0205,C009,27.63,153
O0206,C054,36.71,326
O0207,C041,4.21,327
O0208,C062,21.30,38
O0209,C005,17.04,209
O0210,C029,160.50,99
O0211,C024,22.04,27
O0212,C001,142.44,231
O0213,C077,118.01,237
O0214,C069,18.74,313
O0215,C074,42.16,163
O0216,C051,77.29,182
O0217,C082,58.44,44
O0218,C007,129.15,356
O0219,C059,114.22,257
O0220,C070,15.04,229
O0221,C011,32.92,13
O0222,C010,37.05,316
O0223,C001,100.20,24
O0224,C064,17.72,75
O0225,C012,37.79,279
O0226,C086,26.59,198
O0227,C032,76.63,30
O0228,C073,35.44,344
O0229,C034,36.01,26
O0230,C050,22.36,69
O0231,C043,18.74,273
O0232,C036,17.10,111
O0233,C045,6.21,362
O0234,C903,70.12,261
O0235,C036,13.40,189
O0236,C052,47.08,59
O0237,C073,17.05,97
O0238,C082,25.50,309
O0239,C042,39.23,132
O0240,C089,22.43,38
O0241,C910,56.91,240
O0242,C081,21.35,29
O0243,C004,25.19,189
O0244,C007,104.33,339
O0245,C043,53.12,19
O0246,C937,22.28,248
O0247,C035,28.83,135
O0248,C948,33.86,322
O0249,C077,27.53,192
O0250,C079,39.94,347
O0251,C063,32.84,237
O0252,C053,27.76,53
O0253,C054,85.96,261
O0254,C077,17.43,283
O0255,C087,42.37,21
O0256,C017,43.55,123
O0257,C925,59.11,40
O0258,C088,72.64,50
O0259,C042,23.67,233
O0260,C076,35.69,196
O0261,C068,45.50,228
O0262,C014,40.26,104
O0263,C090,178.26,71
O0264,C019,8.98,66
O0265,C015,129.64,311
O0266,C017,21.28,85
O0267,C955,23.09,106
O0268,C010,57.51,319
O0269,C055,37.20,219
O0270,C081,74.53,63
O0271,C067,23.36,285
O0272,C013,88.25,277
O0273,C056,28.33,256
O0274,C046,26.11,59
O0275,C053,88.48,70
O0276,C007,68.02,286
O0277,C077,43.12,207
O0278,C047,26.41,37
O0279,C058,44.15,228
O0280,C035,30.73,197
O0281,C086,30.81,67
O0282,C012,31.03,14
O0283,C917,92.59,68
O0284,C065,59.64,12
O0285,C041,27.23,92
O0286,C064,80.30,256
O0287,C031,30.28,356
O0288,C024,184.97,268
O0289,C949,54.23,327
O0290,C002,28.01,70
O0291,C033,12.41,235
O0292,C064,40.72,193
O0293,C003,49.02,345
O0294,C011,19.45,271
O0295,C071,86.91,267
O0296,C054,53.39,155
O0297,C051,59.61,58
O0298,C949,19.26,34
O0299,C027,280.93,122
O0300,C024,15.61,318
O0301,C055,33.31,311
O0302,C017,53.04,70
O0303,C011,19.38,339
O0304,C049,16.28,137
O0305,C052,85.13,258
O0306,C013,33.05,35
O0307,C081,29.02,355
O0308,C040,56.65,318
O0309,C087,62.78,160
O0310,C035,21.08,333
O0311,C020,69.49,230
O0312,C084,14.53,249
O0313,C031,135.34,246
O0314,C089,11.58,276
O0315,C921,41.89,172
O0316,C001,15.48,233
O0317,C040,56.29,95
O0318,C086,23.31,164
O0319,C083,34.61,16
O0320,C017,34.21,306
O0321,C060,69.03,344
O0322,C064,28.13,83
O0323,C078,14.41,289
O0324,C072,51.82,190
O0325,C027,20.25,213
O0326,C920,16.81,113
O0327,C068,11.61,247
O0328,C038,112.71,358
O0329,C002,38.88,158
O0330,C049,59.06,110
O0331,C002,25.76,116
O0332,C026,18.28,285
O0333,C050,34.92,272
O0334,C942,19.78,44
O0335,C041,6.06,231
O0336,C052,33.80,337
O0337,C938,30.32,132
O0338,C027,42.33,308
O0339,C041,13.43,158
O0340,C004,15.12,113
O0341,C057,40.39,242
O0342,C012,14.28,256
O0343,C010,27.56,174
O0344,C081,27.12,317
O0345,C951,20.69,232
O0346,C042,55.78,160
O0347,C008,19.33,345
O0348,C046,59.29,100
O0349,C044,71.86,54
O0350,C003,31.49,291
O0351,C959,59.68,229
O0352,C037,24.08,184
O0353,C042,5.62,279
O0354,C077,30.17,1
O0355,C079,30.35,82
O0356,C069,83.90,207
O0357,C013,35.81,246
O0358,C038,30.78,180
O0359,C933,81.97,286
O0360,C020,73.35,270
O0361,C060,29.98,346
O0362,C017,116.99,197
O0363,C021,10.37,81
O0364,C038,22.39,159
O0365,C912,95.07,67
O0366,C032,148.55,230
O0367,C003,12.46,86
O0368,C944,33.66,265
O0369,C053,38.04,32
O0370,C017,22.53,9
O0371,C043,22.55,94
O0372,C060,55.86,98
O0373,C080,17.97,352
O0374,C065,18.46,0
O0375,C083,35.62,130
O0376,C048,11.79,23
O0377,C023,32.47,345
O0378,C931,22.78,176
O0379,C018,21.03,112
O0380,C088,17.75,131
O0381,C047,56.73,17
O0382,C017,60.06,79
O0383,C032,29.38,197
O0384,C076,18.98,57
O0385,C041,26.44,5
O0386,C013,9.13,16
O0387,C016,51.10,63
O0388,C013,25.52,260
O0389,C068,70.92,23
O0390,C056,20.02,300
O0391,C012,50.23,24
O0392,C049,31.27,252
O0393,C056,38.65,181
O0394,C056,30.97,297
O0395,C043,39.60,12
O0396,C025,41.22,111
O0397,C020,16.51,51
O0398,C086,66.84,249
O0399,C044,87.71,281
O0400,C079,22.77,185
O0401,C078,5.82,165
O0402,C050,50.85,193
O0403,C058,10.69,0
O0404,C006,137.03,247
O0405,C002,53.37,76
O0406,C061,68.91,364
O0407,C923,12.49,240
O0408,C034,20.25,252
O0409,C069,17.86,14
O0410,C015,26.05,73
O0411,C066,49.40,167
O0412,C070,15.65,8
O0413,C032,15.87,42
O0414,C064,26.57,229
O0415,C035,14.96,129
O0416,C001,52.09,313
O0417,C001,11.87,295
O0418,C065,28.22,228
O0419,C042,24.26,63
O0420,C030,105.40,159
O0421,C001,28.66,144
O0422,C016,45.54,111
O0423,C007,20.22,256
O0424,C001,45.48,243
O0425,C055,81.74,174
O0426,C904,47.57,164
O0427,C078,17.59,199
O0428,C004,34.22,323
O0429,C002,36.90,294
O0430,C012,13.30,198
O0431,C920,96.12,239
O0432,C036,13.38,268
O0433,C033,25.83,72
O0434,C066,30.69,364
O0435,C059,37.98,34
O0436,C069,17.03,41
O0437,C055,38.07,154
O0438,C025,37.85,158
O0439,C055,20.88,314
O0440,C017,17.22,263
O0441,C014,8.99,195
O0442,C015,10.10,109
O0443,C022,41.58,190
O0444,C010,72.26,171
O0445,C077,40.92,245
O0446,C062,47.50,194
O0447,C089,85.23,67
O0448,C045,51.19,55
O0449,C003,43.58,218
O0450,C934,18.44,296
O0451,C053,41.62,298
O0452,C017,52.93,7
O0453,C079,23.73,280
O0454,C053,23.37,17
O0455,C009,56.54,215
O0456,C046,63.25,184
O0457,C087,17.99,40
O0458,C022,82.80,342
O0459,C917,14.11,270
O0460,C056,42.39,122
O0461,C065,29.19,49
O0462,C025,63.53,16
O0463,C002,67.99,127
O0464,C949,33.21,59
O0465,C017,38.77,318
O0466,C013,97.94,165
O0467,C053,23.76,29
O0468,C070,20.60,100
O0469,C030,7.13,310
O0470,C036,22.16,55
O0471,C053,14.21,122
O0472,C026,45.77,37
O0473,C077,9.37,345
O0474,C063,11.79,227
O0475,C042,43.55,139
O0476,C019,99.94,181
O0477,C041,19.30,290
O0478,C020,20.55,295
O0479,C053,55.97,260
O0480,C082,20.16,155
O0481,C047,77.00,238
O0482,C075,16.21,206
O0483,C071,52.97,98
O0484,C057,40.93,87
O0485,C067,25.20,209
O0486,C016,47.50,104
O0487,C039,17.28,43
O0488,C017,73.93,319
O0489,C026,12.50,339
O0490,C907,68.84,81
O0491,C067,88.28,157
O0492,C051,54.84,42
O0493,C905,21.44,263
O0494,C001,33.25,183
O0495,C016,52.05,4
O0496,C001,44.36,225
O0497,C075,24.71,342
O0498,C015,29.98,180
O0499,C907,54.09,108
O0500,C083,25.98,187
O0501,C043,58.58,179
O0502,C073,37.20,169
O0503,C044,45.28,217
O0504,C074,55.30,70
O0505,C929,27.86,119
O0506,C021,39.62,306
O0507,C901,22.75,281
O0508,C084,28.38,39
O0509,C029,51.98,328
O0510,C003,113.89,81
O0511,C003,35.85,280
O0512,C068,69.68,282
O0513,C032,100.51,246
O0514,C063,31.20,325
O0515,C059,30.74,21
O0516,C021,33.14,348
O0517,C042,21.46,339
O0518,C047,32.28,342
O0519,C946,13.55,82
O0520,C019,38.12,50
O0521,C087,36.45,53
O0522,C038,50.15,178
O0523,C066,37.54,210
O0524,C944,9.39,165
O0525,C063,23.64,162
O0526,C059,36.78,29
O0527,C072,144.24,346
O0528,C054,104.94,102
O0529,C001,181.94,331
O0530,C082,66.61,27
O0531,C045,23.08,265
O0532,C040,27.14,248
O0533,C050,7.50,268
O0534,C010,134.56,31
O0535,C058,22.71,344
O0536,C943,11.32,131
O0537,C060,34.82,205
O0538,C029,37.09,139
O0539,C003,38.05,132
O0540,C023,20.90,87
O0541,C009,27.46,146
O0542,C074,53.46,300
O0543,C071,21.03,112
O0544,C916,19.09,185
O0545,C039,40.26,209
O0546,C034,50.18,73
O0547,C060,21.91,67
O0548,C083,205.33,351
O0549,C045,19.50,241
O0550,C035,28.75,77
O0551,C003,13.98,345
O0552,C003,19.47,220
O0553,C074,19.07,192
O0554,C074,25.18,9
O0555,C079,22.43,58
O0556,C033,10.76,161
O0557,C948,48.21,64
O0558,C079,18.41,2
O0559,C081,45.56,96
O0560,C033,99.48,243
O0561,C045,39.45,109
O0562,C032,18.15,11
O0563,C017,21.01,353
O0564,C010,23.84,200
O0565,C959,104.19,318
O0566,C083,50.64,287
O0567,C051,46.24,323
O0568,C019,35.68,3
O0569,C032,34.32,63
O0570,C036,23.53,192
O0571,C081,6.81,248
O0572,C080,43.23,80
O0573,C090,51.60,152
O0574,C064,35.40,262
O0575,C064,49.41,99
O0576,C065,19.31,229
O0577,C031,33.40,9
O0578,C058,44.11,190
O0579,C027,21.06,132
O0580,C039,81.98,293
O0581,C064,29.13,212
O0582,C084,12.41,128
O0583,C085,89.57,17
O0584,C025,36.87,362
O0585,C017,58.71,179
O0586,C021,63.06,163
O0587,C039,14.24,349
O0588,C066,13.25,4
O0589,C003,53.01,269
O0590,C087,9.10,142
O0591,C018,48.03,347
O0592,C008,46.99,128
O0593,C059,47.26,352
O0594,C047,30.59,162
O0595,C039,20.29,303
O0596,C050,32.78,115
O0597,C032,22.51,46
O0598,C020,28.64,299
O0599,C063,57.93,298
O0600,C921,51.57,362
O0601,C057,12.82,213
O0602,C043,15.41,332
O0603,C068,40.93,265
O0604,C058,51.94,117
O0605,C020,93.99,130
O0606,C005,31.02,29
O0607,C082,16.44,86
O0608,C005,14.08,196
O0609,C033,18.53,36
O0610,C065,61.62,230
O0611,C057,24.32,318
O0612,C014,21.24,0
O0613,C084,44.00,222
O0614,C001,25.17,285
O0615,C073,36.59,118
O0616,C048,18.82,191
O0617,C042,95.54,349
O0618,C916,50.21,209
O0619,C037,45.04,286
O0620,C044,48.00,266
O0621,C074,65.07,363
O0622,C033,78.36,25
O0623,C020,75.80,273
O0624,C002,17.85,314
O0625,C088,43.32,319
O0626,C052,23.16,214
O0627,C054,56.23,162
O0628,C026,100.85,282
O0629,C014,28.33,104
O0630,C088,16.62,51
O0631,C089,8.38,141
O0632,C015,28.35,319
O0633,C081,12.14,42
O0634,C016,27.00,20
O0635,C025,20.33,10
O0636,C046,60.98,122
O0637,C048,46.25,185
O0638,C028,47.25,51
O0639,C043,100.49,306
O0640,C020,37.80,189
O0641,C008,58.43,287
O0642,C921,48.43,209
O0643,C072,37.00,263
O0644,C041,16.67,178
O0645,C046,15.87,268
O0646,C050,23.81,269
O0647,C063,30.67,269
O0648,C055,36.52,170
O0649,C057,48.51,240
O0650,C083,33.06,20
O0651,C019,28.30,208
O0652,C018,48.03,68
O0653,C060,26.01,282
O0654,C013,28.54,62
O0655,C070,13.43,311
O0656,C002,23.48,281
O0657,C089,15.10,255
O0658,C056,21.28,222
O0659,C018,46.63,294
O0660,C040,89.63,117
O0661,C077,8.41,157
O0662,C005,83.23,178
O0663,C916,23.38,55
O0664,C077,47.06,176
O0665,C013,40.74,44
O0666,C060,37.99,64
O0667,C011,70.47,12
O0668,C028,11.39,119
O0669,C047,51.93,6
O0670,C033,35.24,4
O0671,C044,28.50,350
O0672,C012,51.69,44
O0673,C041,81.03,125
O0674,C008,32.85,305
O0675,C926,36.69,12
O0676,C061,48.87,237
O0677,C049,25.28,113
O0678,C039,7.99,333
O0679,C001,44.69,309
O0680,C085,34.38,101
O0681,C089,28.07,263
O0682,C022,44.24,258
O0683,C068,34.91,326
O0684,C037,30.77,90
O0685,C074,32.12,51
O0686,C010,28.06,352
O0687,C021,11.96,59
O0688,C913,132.94,174
O0689,C027,9.90,309
O0690,C020,138.80,100
O0691,C067,18.84,310
O0692,C906,33.44,221
O0693,C017,23.46,281
O0694,C945,44.09,358
O0695,C012,35.37,234
O0696,C072,35.87,109
O0697,C005,78.56,321
O0698,C014,40.94,249
O0699,C014,21.83,245
