row_id,x,y,z
R0213,7.1744,6.0605,18.1309
R0214,3.0756,5.4401,13.3618
R0215,,11.0547,19.3107
R0216,10.8765,8.9363,17.2697
R0217,13.0363,8.1901,6.7934
R0218,9.5982,,13.8271
R0219,7.4836,8.3549,17.8230
R0220,12.2670,6.6181,11.2980
R0221,,,10.3202
R0222,6.7469,6.5638,9.0909
R0223,11.9399,10.7525,9.8775
R0224,6.3588,5.6348,0.5137
R0225,9.0137,,12.1229
R0226,10.5604,8.8091,14.0802
R0227,9.1558,,6.6657
R0228,12.7385,9.5573,13.5616
R0229,8.3189,,1.1392
R0230,9.0377,8.3551,16.7385
R0231,10.7138,9.0321,6.8354
R0232,9.0606,6.2987,4.5532
R0233,10.9271,8.1554,14.0042
R0234,11.6320,10.0211,16.9201
R0235,13.1506,8.9178,11.4534
R0236,,9.6718,
R0237,9.3869,7.6864,
R0238,11.3175,9.0309,
R0239,7.2010,5.9616,9.0980
R0240,14.0093,11.2731,17.7017
R0241,11.1365,8.6673,7.8142
R0242,12.2726,9.1508,2.5782
R0243,,9.4942,
R0244,7.0209,6.6445,6.7689
R0245,6.1165,5.2066,11.5294
R0246,10.0381,8.0045,19.2471
R0247,6.9344,5.9335,11.5328
R0248,13.8478,10.1286,2.6706
R0249,11.6630,7.8542,3.1890
R0250,7.8561,9.0305,6.3063
R0251,6.8078,,10.5143
R0252,12.9659,9.6559,12.1326
R0253,8.2505,7.5100,11.5216
R0254,10.4289,7.6359,0.0634
R0255,7.9502,9.0174,11.2749
R0256,,12.1209,18.7018
R0257,10.2818,7.5431,10.7445
R0258,,9.3716,9.3884
R0259,10.3001,,1.5650
R0260,10.3048,7.6964,
R0261,10.4908,8.4086,0.6307
R0262,8.5888,7.2670,5.6034
R0263,9.1675,8.9294,14.1323
R0264,8.3413,8.4891,14.6457
R0265,11.6442,,17.0465
R0266,10.6155,8.4919,1.3772
R0267,10.8873,,6.3796
R0268,8.3698,6.9222,19.0441
R0269,10.3096,6.1813,8.1042
R0270,9.8016,9.5985,9.7303
R0271,11.4190,,6.2694
R0272,10.3894,6.9808,15.2330
R0273,9.9163,7.5397,8.6239
R0274,9.9199,7.4015,4.5326
R0275,10.6421,9.1148,
R0276,7.5890,6.4311,7.1834
R0277,7.5513,7.9184,0.3198
R0278,8.7335,8.1155,16.4867
R0279,7.3271,,9.0900
R0280,4.4272,,10.2624
R0281,8.8651,6.7143,
R0282,10.9358,9.0264,0.2506
R0283,11.0520,,14.3146
R0284,11.1769,8.0064,8.8038
R0285,10.5435,8.8296,8.2073
R0286,7.3353,,10.0235
R0287,9.8413,7.0379,16.8798
R0288,11.4140,8.9313,11.9439
R0289,7.0585,6.4780,5.0167
R0290,12.6296,,18.6381
R0291,8.8297,9.0247,11.5470
R0292,12.8962,8.9553,1.8143
R0293,9.7245,6.8491,10.7503
R0294,7.9319,,2.9787
R0295,12.7193,8.8041,15.1140
R0296,9.4179,7.4436,3.5425
R0297,8.4402,9.3277,7.3994
R0298,10.8108,7.5891,12.3454
R0299,6.3122,,15.9478
R0300,9.5062,8.3027,
R0301,10.3582,7.4989,14.0124
R0302,6.6100,6.9665,10.6751
R0303,12.2879,8.8270,15.7272
R0304,,9.1478,2.5407
R0305,5.9147,5.4958,
R0306,,7.6278,
R0307,,6.8949,17.4136
R0308,9.2631,7.8332,0.9006
R0309,13.3782,8.8770,12.9914
R0310,10.4652,8.6672,2.3989
R0311,8.2000,6.2045,17.1026
R0312,8.6198,6.7880,18.3364
R0313,6.0674,6.9181,8.4533
R0314,10.1739,9.1434,1.2588
R0315,9.0739,8.1334,2.2834
R0316,8.3501,7.3090,18.8423
R0317,8.3696,5.4790,10.3230
R0318,12.3795,10.8465,12.7373
R0319,9.8511,9.6522,12.2004
R0320,8.5324,7.3169,5.9455
R0321,7.0721,5.1619,18.0008
R0322,6.8675,7.1235,7.6958
R0323,6.8414,6.1484,15.8924
R0324,10.9636,9.0920,13.0991
R0325,14.0279,,2.8521
R0326,10.1302,7.9615,2.3236
R0327,10.0762,9.0785,9.3710
R0328,11.4723,8.2000,11.6959
R0329,10.1418,7.2812,7.7770
R0330,12.1605,9.9639,17.0212
R0331,8.4242,7.4598,4.6524
R0332,11.7086,8.6048,10.0552
R0333,7.4306,7.7178,4.9047
R0334,12.9438,9.2181,12.4009
R0335,9.4778,6.8498,9.8662
R0336,,7.5496,
R0337,,8.3410,7.0852
R0338,11.1286,8.7322,5.0757
R0339,,8.6374,8.4795
R0340,8.9023,6.0889,12.4581
R0341,9.9886,8.3291,10.0130
R0342,9.8787,7.3252,2.7665
R0343,8.3570,7.9152,3.0592
R0344,8.6905,7.4809,4.2466
R0345,9.6193,7.2332,13.5821
R0346,10.4925,8.7692,4.3124
R0347,,8.3068,5.8082
R0348,10.4187,6.3412,8.9173
R0349,9.5191,8.0664,9.8350
R0350,12.0651,8.6506,11.4390
R0351,10.9748,8.1660,12.2983
R0352,9.8467,8.3115,0.2951
R0353,9.9456,8.4028,9.6332
R0354,9.6452,,16.7245
R0355,9.4142,7.0860,7.9673
R0356,10.0624,7.5168,2.2629
R0357,13.8694,8.9230,4.5846
R0358,10.7812,7.3944,1.6396
R0359,9.1313,6.3942,10.3156
R0360,7.0628,5.0895,19.0728
R0361,8.0851,,10.1826
R0362,7.0054,5.9338,9.3777
R0363,7.7362,4.3387,15.4785
R0364,9.2977,,13.8298
R0365,13.2611,10.4169,4.9215
R0366,9.5520,7.0784,7.1756
R0367,10.7562,9.3285,6.6865
R0368,,7.3449,17.3717
R0369,12.0492,10.2586,18.2030
R0370,6.4275,,19.0197
R0371,10.4511,7.6212,17.0062
R0372,9.8307,8.9620,10.6891
R0373,9.6259,8.0578,13.7944
R0374,6.0828,,2.1557
R0375,12.0209,8.9240,18.6028
R0376,12.6473,9.4268,8.0710
R0377,10.3730,7.9570,11.0024
R0378,7.1260,5.7060,13.8057
R0379,9.8648,7.4904,1.5726
R0380,9.9962,6.8007,6.4996
R0381,7.8543,7.1402,12.3405
R0382,,6.7626,6.3772
R0383,9.9743,9.8784,18.8833
R0384,11.9699,8.5246,10.0854
R0385,9.5010,7.3374,7.4726
R0386,12.5017,9.4992,11.3994
R0387,13.0543,10.5748,16.8119
R0388,11.1202,7.4859,9.5101
R0389,10.8548,7.9620,9.7345
R0390,6.2570,,17.3024
R0391,11.2569,8.4889,17.6941
R0392,,,16.9040
R0393,7.8273,6.9828,9.1916
R0394,9.9881,10.2522,7.5391
R0395,7.6366,6.4739,5.8054
R0396,11.4804,9.4691,
R0397,9.4372,7.0672,6.1380
R0398,13.0366,7.0616,12.0075
R0399,8.2783,8.0229,17.3028
R0400,10.0525,6.5695,19.8066
R0401,10.1111,9.4669,13.6215
R0402,11.7923,8.3087,3.8716
R0403,8.9810,8.4522,0.6049
R0404,8.9671,6.6909,17.6956
R0405,6.6190,6.0305,12.8136
R0406,9.7407,7.0748,8.9824
R0407,9.0729,6.0786,4.2558
R0408,11.9997,8.0149,5.1455
R0409,7.8584,6.9635,16.9139
R0410,11.4688,8.2171,14.8233
R0411,,10.2687,14.8923
R0412,13.2252,11.6181,
R0413,13.8121,9.7413,16.9431
R0414,6.8727,6.5026,19.2721
R0415,8.9462,7.3314,14.0673
R0416,9.6765,6.7621,1.0715
R0417,10.8904,8.5545,6.6146
R0418,8.6609,6.8460,5.1150
R0419,12.3215,9.7935,5.6837
R0420,13.7087,,4.3208
R0421,13.2005,10.0877,4.7627
R0422,,7.2201,11.7355
R0423,7.9780,6.5453,17.1086
R0424,5.7819,,11.1262
R0425,6.1712,6.7111,12.4674
R0426,9.5285,6.2076,18.5277
R0427,12.6277,,10.6977
R0428,8.3750,,13.8531
R0429,10.7651,9.1532,5.7146
R0430,9.3590,9.2552,
R0431,7.4738,,19.8400
R0432,10.4609,7.6008,8.9922
R0433,,5.6654,19.3515
R0434,11.3916,,18.4997
R0435,10.2505,10.2307,16.6386
R0436,13.8158,9.8332,15.3133
R0437,9.1032,6.1355,1.2122
R0438,8.0569,7.4253,6.9338
R0439,8.8829,7.2488,5.4905
R0440,9.9333,6.9230,7.4179
R0441,9.1770,7.7162,2.0498
R0442,10.3735,8.1828,14.0917
R0443,9.2152,7.3772,5.3314
R0444,,,19.5601
R0445,11.0391,8.6459,16.6785
R0446,10.4609,,17.6838
R0447,9.6766,8.7828,17.6586
R0448,,8.6695,13.2720
R0449,8.2325,7.7699,0.2220
R0450,11.5435,,10.1545
R0451,12.6015,8.3553,7.4557
R0452,11.1694,8.9655,
R0453,10.7434,,16.6136
R0454,9.1978,8.2972,14.1562
R0455,,7.5316,10.0002
R0456,8.5434,6.8978,13.3452
R0457,11.0052,8.2170,15.0329
R0458,11.0552,7.6236,19.1558
R0459,10.2669,,15.2956
R0460,,9.9823,7.0212
R0461,10.4970,7.3030,0.3353
R0462,6.4778,,11.1121
R0463,,,17.5785
R0464,,6.7910,5.1924
R0465,8.9171,8.1389,2.4268
R0466,12.5047,8.9029,19.3603
R0467,6.5840,6.0496,0.5456
R0468,10.9025,7.9710,12.6718
R0469,12.4275,10.4786,
R0470,8.9777,7.5070,9.3435
R0471,11.0382,10.5637,7.6564
R0472,11.1717,6.8578,8.2803
R0473,10.2630,8.5101,2.3696
R0474,9.6704,5.5265,17.7198
R0475,7.9557,7.0762,4.8966
R0476,8.5904,6.8656,2.4464
R0477,9.0878,9.1851,8.5819
R0478,9.3646,6.9056,5.4120
R0479,7.6444,5.6439,12.1306
R0480,11.6622,8.8593,0.5062
R0481,10.5319,7.9216,9.4289
R0482,12.4699,10.9750,6.7891
R0483,12.3556,,10.2758
R0484,10.0812,9.9123,13.8003
R0485,13.0329,,14.9188
R0486,9.2833,6.1673,8.9928
R0487,12.2465,,6.3250
R0488,11.6563,8.9092,10.3850
R0489,10.7775,7.4382,2.8836
R0490,10.8987,7.3474,7.8618
R0491,,7.1391,4.8770
R0492,9.4880,,6.8348
R0493,7.6088,6.6101,13.3587
R0494,11.6500,8.6345,15.7856
R0495,10.6919,8.5005,1.5803
R0496,7.5091,6.2837,0.9936
R0497,,8.0972,6.8295
R0498,8.2102,6.3812,5.1840
R0499,8.9714,7.0361,19.1401
R0500,6.8236,7.1169,2.0297
R0501,10.8364,8.6921,10.7794
R0502,9.6454,6.7616,1.5323
R0503,13.4092,,14.6895
R0504,10.1656,,8.0235
R0505,11.1974,,0.9335
R0506,12.4655,9.9520,11.7397
R0507,12.0741,9.3902,12.1231
R0508,6.7950,6.1101,14.7959
R0509,9.5457,7.6865,12.4738
R0510,10.9063,8.5985,4.2985
R0511,,8.6174,2.3345
R0512,7.1387,6.3417,1.3380
R0513,,5.6605,8.8203
R0514,7.8915,5.9232,15.0277
R0515,11.8725,8.9104,
R0516,,6.5659,16.4287
R0517,9.1634,8.5832,2.6061
R0518,11.1907,10.0658,
R0519,9.5923,6.9884,12.2653
R0520,5.6903,7.2688,19.7336
R0521,10.1820,7.6936,5.1722
R0522,8.4594,8.8509,4.3844
R0523,11.3204,8.4910,9.1154
R0524,9.3764,7.3858,19.1977
R0525,9.3404,7.4832,4.8513
R0526,11.5463,8.3861,11.3127
R0527,9.9157,,0.9532
R0528,,7.7916,8.6982
R0529,11.3258,9.2975,1.1817
R0530,12.4185,7.9884,8.0536
R0531,9.0808,7.7317,
R0532,11.3324,7.4410,18.1859
R0533,8.7522,8.1849,15.8775
R0534,12.4645,9.1475,18.5643
R0535,8.8726,7.6757,17.9167
R0536,10.7445,9.4585,6.2488
R0537,11.9713,8.4535,3.1528
R0538,10.6125,7.9345,5.1485
R0539,10.1578,7.5527,2.1856
R0540,6.2506,5.8027,13.7487
R0541,7.6926,6.4790,16.6125
R0542,6.9036,6.2204,11.6302
R0543,4.8769,5.9663,15.3960
R0544,,6.2928,1.6193
R0545,9.8943,,3.2228
R0546,10.1981,6.7226,9.8219
R0547,8.4486,8.0286,1.3404
R0548,6.6528,7.5720,10.3866
R0549,11.0796,,15.1351
R0550,,8.4122,10.1191
R0551,8.4134,7.4402,13.2333
R0552,12.1013,,
R0553,11.5379,,
R0554,6.9899,5.6271,9.1819
R0555,8.7845,,1.3620
R0556,13.7509,10.2874,9.4179
R0557,4.3382,5.6329,4.1338
R0558,7.6215,6.8810,1.2185
R0559,11.1516,9.0386,5.7642
R0560,11.2871,9.2557,19.0236
R0561,6.5792,7.3359,10.5667
R0562,7.4841,8.6266,9.5227
R0563,9.5943,8.6243,9.1324
R0564,10.5376,10.2412,
R0565,11.1053,8.1632,19.0048
R0566,9.0854,6.9805,5.3461
R0567,8.9886,7.1182,2.5611
R0568,15.7561,12.4460,11.8313
R0569,9.6262,8.0862,1.7228
R0570,12.2205,9.3586,10.1789
R0571,7.3013,7.7335,16.3922
R0572,6.4569,7.7573,11.1596
R0573,,7.7508,6.0047
R0574,,9.1641,5.7584
R0575,9.9017,8.1936,0.3187
R0576,10.5260,8.3144,7.6936
R0577,8.4588,7.4698,6.1776
R0578,6.9528,6.5582,5.8985
R0579,6.3749,6.9608,3.4142
R0580,11.3898,,17.9254
R0581,12.6202,9.4116,18.9612
R0582,12.1584,10.5003,15.0301
R0583,12.0214,9.6803,5.5180
R0584,10.1769,7.9340,4.7542
R0585,10.6628,7.8671,14.8139
R0586,10.4688,8.0897,9.4159
R0587,11.6128,8.2886,14.2263
R0588,9.7804,9.5218,18.7804
R0589,,7.5566,2.2359
R0590,9.3274,8.3874,10.0678
R0591,9.7303,8.7464,7.0421
R0592,9.9409,7.2406,2.4666
R0593,12.5121,9.1626,12.9519
R0594,9.0690,4.8872,5.0970
R0595,9.4680,6.4663,4.2011
R0596,10.7119,7.6838,13.2294
R0597,10.5095,7.3608,14.6959
R0598,10.6207,7.1674,2.3702
R0599,11.6909,9.0480,10.5266
