row_id,m1,m2,m3,m4
V0103,-1.84502,-2.04098,-0.93378,0.44920
V0104,1.03205,0.64798,0.20455,-0.61992
V0105,0.02188,-0.31935,1.01004,-0.14836
V0106,0.04147,-1.87050,1.22124,-0.48383
V0107,0.79759,1.31384,-0.70880,-0.24361
V0108,1.19523,0.75556,-0.81628,0.23134
V0109,-0.89140,-0.28273,-0.44150,0.04679
V0110,-0.35388,-0.16883,0.65232,1.06318
V0111,-0.16895,-0.67429,0.55155,0.08276
V0112,-1.31014,-0.56914,1.51953,-1.24616
V0113,-1.12281,0.06150,0.07404,-0.51347
V0114,0.03791,0.15965,2.71242,-2.60418
V0115,-0.93993,-0.35580,0.56373,-0.26469
V0116,0.98945,0.34024,-0.92114,0.20580
V0117,0.30366,-0.09035,0.05733,0.35648
V0118,0.45158,0.29438,1.26510,0.42389
V0119,0.56727,0.38588,0.53518,0.63144
V0120,0.17087,-0.37733,1.65994,-0.00615
V0121,0.43683,1.01754,-0.35096,-0.86387
V0122,-0.96936,-0.69654,-0.07689,0.69608
V0123,0.68782,0.34456,-0.28303,-1.11755
V0124,1.43243,1.07357,-1.41730,1.72472
V0125,0.31398,0.78970,1.53875,-0.17358
V0126,0.83780,1.12183,-0.11490,-0.32042
V0127,-0.89144,-0.36153,0.18605,-0.20222
V0128,0.31921,0.91586,0.78259,-1.17225
V0129,2.09190,1.94695,2.77977,-2.32348
V0130,-0.98621,-0.64692,-1.23484,-0.23238
V0131,-0.46657,1.01745,-0.71166,1.75749
V0132,-0.07566,-0.30616,0.50538,-0.39669
V0133,1.48307,0.76108,-1.03821,0.22640
V0134,-0.65977,-0.89351,-0.64078,1.91982
V0135,0.80757,0.31788,-0.32858,0.83848
V0136,0.00534,-0.31093,0.58630,-0.36290
V0137,1.26311,-0.53177,-0.94016,0.83151
V0138,0.49965,-0.00993,0.13346,-1.92901
V0139,0.61692,0.25123,-0.86979,0.27438
V0140,0.74741,0.01665,0.30086,0.47027
V0141,0.68609,0.54711,-0.20728,0.79930
V0142,1.28195,0.92400,0.48411,-0.11458
V0143,-0.62546,-0.45866,0.20805,0.37269
V0144,1.01063,1.44980,-1.68979,1.46133
V0145,-0.29838,-0.73720,-1.19874,0.30683
V0146,-0.87981,-2.26607,-0.42097,-0.06940
V0147,0.16461,-0.36394,-0.58838,0.29080
V0148,-0.64684,-1.30983,0.72991,-0.57138
V0149,1.40338,1.32012,-1.04655,-0.40778
V0150,0.83290,1.14095,0.23629,0.38250
V0151,-0.09712,-0.24916,-0.42875,0.02941
V0152,1.70588,0.35692,0.44278,-0.19202
V0153,-1.06620,-0.16017,-0.96216,0.64312
V0154,-0.45306,-0.73168,0.88581,-0.20453
V0155,0.35561,0.33141,-2.46902,0.16361
V0156,-0.30149,-0.56277,0.10859,-0.33144
V0157,-1.51804,-0.86518,-0.94016,0.41366
V0158,0.24515,0.20841,1.14383,-0.44660
V0159,0.62834,1.42641,-1.99591,0.41950
V0160,-2.22118,-2.08848,-0.00286,1.06079
V0161,-1.66748,-0.66396,-0.97405,1.18956
V0162,1.30614,0.17521,0.10049,-0.42395
V0163,-1.22728,-0.74140,0.42787,0.21039
V0164,0.80122,0.37982,-1.10959,0.20713
V0165,-0.15852,-0.05053,0.52290,-0.47551
V0166,-0.34630,0.01923,1.45885,0.14479
V0167,0.61372,1.01935,0.05844,0.87695
V0168,0.47681,0.70187,-0.18191,0.77406
V0169,-1.28333,-0.72926,-0.08480,0.67682
V0170,-0.81175,-0.42367,-1.22921,1.25868
V0171,0.06026,0.51309,-2.18697,0.64827
V0172,1.65505,1.34486,-0.52930,-0.14125
V0173,0.83476,0.30834,0.36949,-1.00522
V0174,-0.67207,-0.86682,1.70909,-1.44774
V0175,-0.40280,-0.07106,-0.11290,-0.58847
V0176,-0.31509,0.25452,1.06408,0.00622
V0177,-0.19923,0.37786,0.71350,-1.00956
V0178,0.80770,0.27500,-1.16466,0.31727
V0179,0.98599,0.48654,1.37711,-0.77025
V0180,-2.50810,-1.34140,0.55795,-0.09072
V0181,0.32715,-0.05596,-0.17009,-0.13277
V0182,-0.75371,-0.21524,0.41444,-0.31145
V0183,-0.64197,-1.31230,-0.50127,-0.25394
V0184,-0.25855,-0.56230,-0.26893,-0.17945
V0185,-1.24440,-1.56409,0.76887,0.71425
V0186,1.49577,1.48573,0.20387,-0.06476
V0187,-0.38077,-0.43540,0.85443,-0.61577
V0188,0.71405,-0.43133,0.26913,-0.34413
V0189,-1.33085,-1.35206,-0.35231,-0.23465
V0190,-0.31974,-0.50086,-0.10302,0.86693
V0191,0.49303,-0.01542,-0.11693,0.30172
V0192,-0.12022,-0.70710,-0.18198,0.30874
V0193,0.10052,0.78578,-0.55902,-0.10220
V0194,-0.37836,-0.33282,-0.69116,0.40775
V0195,0.74581,1.23231,0.45250,0.10508
V0196,0.17154,-0.41208,-0.31866,0.28459
V0197,0.25961,0.56439,1.38514,-1.61587
V0198,-0.10049,0.37863,-0.29505,1.07904
V0199,0.33050,0.15229,1.38770,-1.19330
V0200,-1.90460,-2.56118,1.33787,-1.51683
V0201,0.17101,0.51802,1.51666,-1.09176
V0202,-0.28927,-0.51812,-0.64506,0.69549
V0203,-0.37733,-0.40619,0.22873,-0.98526
V0204,-0.89704,-1.65314,0.34646,0.60607
V0205,-1.12087,-0.85378,0.18867,0.06508
V0206,-0.48691,-0.46942,0.54810,-0.76813
V0207,-0.62254,-0.50814,0.62179,-0.46615
V0208,0.03800,0.42735,-1.10673,-0.80331
V0209,-0.05792,-0.12172,0.62353,-0.57196
V0210,-0.02493,-0.29137,1.43346,-0.62905
V0211,-0.86300,-0.22681,-0.61072,0.80276
V0212,1.01166,0.74546,0.79541,-0.81094
V0213,1.02159,1.06615,1.10590,-0.16739
V0214,-0.12156,0.86517,-1.27252,-0.93555
V0215,-0.87005,-0.54562,-0.44326,-0.90858
V0216,2.55861,1.64999,0.17169,-0.67585
V0217,0.47512,0.40770,-0.01872,0.91740
V0218,0.11888,-0.05027,-0.58797,-0.52243
V0219,0.58841,0.12562,-0.77169,-0.04737
V0220,0.13874,0.80260,-0.98910,0.02830
V0221,-0.82359,-1.09644,1.30980,0.11654
V0222,0.08247,0.67232,0.68325,-0.04981
V0223,0.76801,0.75105,1.66542,-1.96703
V0224,0.68372,1.08544,0.94112,-1.28553
V0225,-0.82328,-0.86194,-0.37491,1.68126
V0226,-1.31141,-1.32356,-1.82801,0.77401
V0227,1.01444,1.00107,0.21413,-1.20126
V0228,-0.35374,-0.40073,-0.58574,-0.05030
V0229,0.05469,0.34522,0.98551,-0.45875
V0230,0.67777,1.51088,1.60594,-1.03524
V0231,-0.42016,-1.00189,-0.82789,1.95303
V0232,0.09464,-0.67290,0.33250,0.66127
V0233,1.09716,0.54758,-0.55244,1.36048
V0234,0.51693,-0.13984,-1.18664,0.61372
V0235,1.46614,1.13394,0.01496,-0.43417
V0236,-1.70232,-1.79922,1.38432,-0.41893
V0237,-0.26407,-0.16448,1.21180,-0.56115
V0238,1.01790,0.10045,-0.81048,0.69139
V0239,-1.22587,-1.45022,-0.44344,0.52533
V0240,0.67221,0.75917,-0.17541,-0.16563
V0241,-0.74505,0.34039,-1.45485,1.74760
V0242,-1.20207,-0.24532,0.99468,-1.35793
V0243,-0.73270,-0.70269,-0.61578,-0.25676
V0244,0.54851,0.76036,1.37072,-2.01137
V0245,0.63355,0.25301,0.26526,-0.59219
V0246,-0.95146,-1.68720,0.66891,0.39127
V0247,-0.56260,0.17881,0.26022,0.42074
V0248,-0.05766,0.13711,-0.62350,-0.36847
V0249,-1.12089,-0.86807,1.53542,-0.80605
V0250,-1.27357,-1.40663,-0.08695,-0.56367
V0251,-0.22648,0.28489,0.32244,-0.97985
V0252,0.18643,0.00326,-0.33976,0.07907
V0253,-0.20034,-0.27566,0.48458,0.00372
V0254,-0.14913,0.48623,-1.72704,1.17292
V0255,0.72136,0.76601,0.11730,-0.76287
V0256,0.24774,0.60723,0.40121,0.26453
V0257,1.06605,1.35485,-0.90805,1.16112
V0258,0.74688,1.74498,0.21171,1.29965
V0259,1.41134,0.48043,-0.50780,0.93937
V0260,-0.13578,-0.26949,1.91737,-2.57873
V0261,0.06680,-0.81877,-0.99561,0.84958
V0262,-0.03931,-0.66768,0.76677,-0.72780
V0263,0.10933,-0.06160,1.04882,-1.25715
V0264,0.41729,-0.06611,0.41568,1.25716
V0265,0.47052,0.14369,-0.65735,0.48449
V0266,-0.98286,-0.45290,0.31892,0.41300
V0267,0.37684,0.64430,0.84831,-0.68136
V0268,-1.70742,-1.47291,-1.11495,0.73203
V0269,-0.83656,-0.40413,0.37405,0.13868
V0270,-0.46360,0.36860,0.73780,0.71092
V0271,-2.53485,-1.77358,0.57841,-0.55670
V0272,-0.13210,-0.17164,-0.33040,-0.59053
V0273,-0.15868,-0.23379,0.69864,-0.11411
V0274,0.20994,0.42645,-0.16890,0.39276
V0275,0.22180,0.30858,0.67661,0.05925
V0276,-0.40971,-0.02656,1.76942,-1.01873
V0277,1.09314,1.21799,1.19778,0.85804
V0278,-1.09239,-1.43179,1.22523,-0.85351
V0279,-0.82506,-0.31579,0.22021,-1.00321
V0280,1.02188,0.93228,-1.09568,-0.46445
V0281,1.42347,1.07521,-0.27179,1.07277
V0282,0.88700,1.04390,-0.99358,-0.64421
V0283,0.43861,0.57076,1.47348,-0.50803
V0284,-0.94235,-0.86292,0.47019,-1.42809
V0285,0.06725,-0.59214,1.33852,-1.69161
V0286,-1.88887,-2.01840,-0.50719,0.50631
V0287,-0.21257,-0.03177,-0.39960,-0.10725
V0288,-0.97469,-0.73541,-1.30276,0.27830
V0289,0.22962,0.36366,0.10782,-0.91359
V0290,0.42226,0.91667,0.89524,-1.70184
V0291,-0.67145,0.08083,-0.85661,0.94400
V0292,0.06264,-0.27772,-1.24805,-0.12106
V0293,-0.66380,0.27603,0.60475,-0.99462
V0294,3.45732,3.13771,-1.30838,0.24509
V0295,0.19165,0.19659,-0.16589,-0.10083
V0296,-0.32417,0.21837,0.03737,0.53089
V0297,-1.65880,-1.66283,-0.10839,-0.05847
V0298,1.07428,1.14204,0.83393,-0.05978
V0299,0.07112,0.10900,0.07619,0.20960
V0300,-0.75697,-0.86465,0.48978,-0.15538
V0301,0.82870,0.29440,-0.21360,0.42618
V0302,-0.00310,-0.27751,0.56243,-0.00675
V0303,-2.06885,-2.23182,-0.41225,1.82249
V0304,1.84176,1.44010,-0.73567,1.37115
V0305,0.81023,1.45953,2.34173,-0.52359
V0306,0.04501,-0.87831,-1.07950,0.22056
V0307,-1.45095,-0.92241,0.62228,0.16907
V0308,-1.60625,-1.74862,1.63028,-1.72758
V0309,-0.97376,-0.37485,0.11327,0.14373
V0310,-1.55535,-1.75748,-0.12821,-1.02259
V0311,0.63747,0.34613,-2.06073,1.39470
V0312,0.05246,-0.24963,-0.25148,0.14499
V0313,-0.47014,0.73173,-0.51953,-1.06824
V0314,1.47782,0.41155,-0.15416,-0.01360
V0315,0.53434,0.40306,0.68659,0.38698
V0316,-1.01758,-1.15155,-0.04504,-0.02140
V0317,-0.14507,0.54585,1.06255,-0.82091
V0318,-0.01377,-0.74378,-0.74382,0.88915
V0319,0.36137,-0.76563,-0.65850,1.43019
V0320,0.73556,0.20539,0.34879,-0.56629
V0321,0.76670,0.40481,0.34714,1.11116
V0322,-0.54044,-0.96104,-0.59976,2.07412
V0323,3.04612,2.10615,-0.16394,0.06670
V0324,-0.02529,-0.84423,2.44841,-0.85936
V0325,-1.32090,-1.48192,-0.58534,0.64654
V0326,-0.41220,-0.36685,-0.64176,-0.83871
V0327,0.22133,1.02330,0.21696,0.69353
V0328,0.81543,-0.26402,0.03431,-0.25890
V0329,-0.19754,0.40669,-0.43137,-0.26731
V0330,-1.00054,-0.84313,0.54104,-0.23854
V0331,-0.68999,-0.25524,-0.33480,-0.38083
V0332,-0.58404,-0.99804,1.83595,-0.76408
V0333,1.68463,1.42825,0.85843,-1.31317
V0334,0.52057,1.19826,0.44611,-1.24474
V0335,-0.76754,-0.40582,0.65170,-0.53239
V0336,0.51301,0.41910,0.63567,-0.81986
V0337,1.31029,0.46638,1.60454,-0.76274
V0338,0.06179,0.35695,2.28948,-1.61738
V0339,1.00908,1.00894,-0.10767,-0.63510
V0340,-0.28571,-1.01923,0.50847,0.27818
V0341,0.44806,0.58791,-1.78041,0.77811
V0342,-0.03242,-0.84023,0.90441,-0.79729
V0343,0.50807,0.65251,0.01435,0.23788
V0344,-1.06098,-1.13239,0.65399,-1.73912
V0345,-1.08455,-0.70946,2.15432,-2.39160
V0346,1.34475,1.16945,-0.89108,1.34056
V0347,0.24377,0.47000,-0.62798,1.20053
V0348,-1.02866,-1.34018,-0.23531,-0.31322
V0349,-0.51001,-0.61424,-0.21816,-0.97238
V0350,0.67383,-0.10510,0.55687,-0.42012
V0351,0.10975,0.71649,-1.06592,-0.13414
V0352,-2.12769,-1.23863,0.04825,-0.59711
V0353,-0.21408,0.04061,0.43305,-0.40094
V0354,1.12903,1.01493,0.60051,-2.18151
V0355,-1.92972,-2.68164,0.76545,-0.22475
V0356,0.85174,0.57509,-1.74945,0.85741
V0357,0.54600,-0.60308,0.53572,-0.72494
V0358,1.06185,1.02715,0.36780,0.15024
V0359,-0.20292,0.56317,0.91620,-0.49116
V0360,1.33398,0.37136,-0.42864,0.69029
V0361,-0.60321,-0.12811,0.61271,-1.60925
V0362,-0.22399,-0.48666,0.39925,-0.33462
V0363,-0.77457,-0.45839,-0.28199,0.06049
V0364,-0.93414,-0.87148,-0.08545,0.43573
V0365,-2.41574,-2.19206,-0.47455,0.52607
V0366,0.75937,0.48166,-0.86753,0.91134
V0367,0.82497,0.62614,-0.33656,-0.48989
V0368,-0.12702,0.39515,-1.66720,0.29676
V0369,1.09656,-0.20542,-0.47940,-1.53814
V0370,-0.31534,-0.15471,-0.48382,0.88017
V0371,0.43330,0.92875,0.03465,0.68752
V0372,1.53519,1.75620,-0.87231,0.59362
V0373,2.11588,2.56870,0.43559,0.44796
V0374,-1.04367,-0.98054,-0.53896,-0.66897
V0375,1.31763,0.74376,-0.25154,0.87483
V0376,0.22883,-0.06936,0.04896,-0.43118
V0377,-0.24839,-0.34921,-0.08718,0.43775
V0378,0.44688,0.55310,0.97762,-0.80875
V0379,0.24219,0.35078,1.21753,-1.27244
V0380,-1.02176,-1.17770,0.31773,0.33729
V0381,0.26782,-0.35654,-1.35121,0.70471
V0382,-1.75581,-1.50408,-0.35645,0.24161
V0383,0.15145,0.60186,-1.07861,0.98687
V0384,1.93846,1.30836,0.99556,-0.85962
V0385,0.89595,0.37026,0.25405,0.61855
V0386,0.00360,0.16799,0.91642,-0.54351
V0387,0.54316,0.21138,0.77319,-1.25298
V0388,-0.44158,-0.48500,-0.40002,1.69002
V0389,0.36095,0.44092,0.73309,-0.44266
V0390,0.29174,0.63183,0.59073,-0.25025
V0391,0.73764,0.73600,0.67183,1.08626
V0392,-0.12943,-0.62806,0.46035,-0.91117
V0393,-0.32878,-0.35280,-0.01542,0.94036
V0394,0.04234,0.16093,0.54329,-0.35196
V0395,-1.89555,-1.59587,0.81007,-0.58878
V0396,-0.83243,-1.57094,0.55487,0.05100
V0397,-1.19418,-1.04481,-1.03562,-0.17355
V0398,1.59456,1.62933,-0.18072,-0.25866
V0399,1.15849,0.97782,-0.73914,1.57940
V0400,-1.46210,-1.63795,-1.39138,-0.52403
V0401,1.55348,1.69466,0.02603,-0.24379
V0402,-0.60129,-0.91495,-0.81493,-0.05986
V0403,0.66270,1.22927,0.29625,0.31306
V0404,0.26077,0.28001,-0.53634,-0.61496
V0405,-0.03171,-0.56274,-0.96689,-0.03293
V0406,-3.34549,-2.46480,0.58054,0.14260
V0407,-0.35453,0.21058,-0.63839,0.59575
V0408,0.33240,0.81520,-1.05517,0.58695
V0409,1.33393,1.94296,1.22432,-2.16413
V0410,1.47321,1.04375,0.67961,-0.47091
V0411,-1.53319,-1.87821,0.77070,-0.89283
V0412,-1.19784,-0.86906,-1.71462,0.79776
V0413,0.80058,0.53941,-0.99360,0.76955
V0414,-0.10831,0.71398,-0.31325,0.33419
V0415,0.20627,0.17346,0.33552,-0.45903
V0416,1.51646,0.62616,-0.76855,0.24885
V0417,0.22717,0.33633,-1.18853,1.04206
V0418,0.41854,0.53529,-0.31551,0.45570
V0419,-0.73774,-0.81911,1.34355,-0.02363
V0420,0.94689,1.34574,0.15871,0.12502
V0421,-0.38516,-0.26441,-1.04467,0.99030
V0422,1.89368,1.96783,-0.28044,-1.30343
V0423,1.28505,0.47479,-0.85679,1.16797
V0424,0.47566,0.68791,0.06980,1.21956
V0425,-1.76375,-0.84942,-0.03495,-0.63615
V0426,-1.16016,-1.12125,0.24632,0.68610
V0427,0.71336,1.04787,-0.44730,-0.40275
V0428,-1.10149,-0.08819,-1.08700,1.14836
V0429,0.22574,0.70544,-1.12364,1.21392
V0430,0.48812,-0.02291,0.42952,0.69470
V0431,-0.91547,-0.65826,-0.30934,0.82956
V0432,0.00262,-0.17000,-0.36603,-0.18758
V0433,-0.26362,0.28046,-0.98178,0.78483
V0434,-0.05146,0.17761,-0.82757,0.78816
V0435,0.26400,-0.15273,-0.29525,0.43527
V0436,-1.38996,-1.19527,-0.94503,-0.48560
V0437,0.82737,1.74741,0.55440,0.13172
V0438,1.21247,0.90788,1.11235,-1.06534
V0439,-1.62273,-1.64600,-0.76681,0.18381
V0440,1.01666,0.94343,1.14036,-1.40897
V0441,-2.08525,-1.80081,-0.32121,-0.89563
V0442,2.58395,2.55454,1.41497,-0.53595
V0443,-1.04850,-0.66236,1.61155,-0.38815
V0444,0.20606,-0.00608,1.03980,-0.48649
V0445,1.73099,1.74046,-1.28537,1.58835
V0446,1.18520,0.85866,0.44801,0.16703
V0447,-0.51453,-0.45913,1.32903,-0.54934
V0448,-1.58208,-1.47831,-0.11925,-0.70988
V0449,-0.38054,-1.04310,-0.98726,-0.27729
