row_id,a,b,c,d
N0067,-0.40928,-1.71593,-1.23668,0.18138
N0068,0.24824,0.18290,-0.84929,0.60340
N0069,0.18939,-1.02676,-1.44113,1.50607
N0070,-0.07093,0.60146,1.04566,-1.15436
N0071,-0.75015,-0.17917,1.54841,-0.49792
N0072,-0.00127,0.97562,0.91657,-0.79716
N0073,-0.35232,0.66340,0.09500,-0.98806
N0074,0.85696,1.69524,0.78147,-1.09527
N0075,-0.83329,-0.73258,0.68283,-0.60893
N0076,-0.90907,-1.48237,-0.09259,-0.53629
N0077,-0.55466,-0.43058,1.57222,-0.39781
N0078,0.85088,1.21061,-0.09365,0.16487
N0079,-1.58381,-0.63450,2.72964,-1.04451
N0080,-2.02582,-0.38829,0.21217,-0.57896
N0081,-0.15890,-0.61797,-0.20131,0.65647
N0082,-0.35193,-0.38326,0.34926,-0.87210
N0083,-1.85404,-1.72897,0.89770,0.13591
N0084,2.23779,1.08850,-1.69381,1.86112
N0085,-1.12914,0.21792,1.08742,-0.93494
N0086,-1.26341,-0.49721,0.51120,-0.48690
N0087,0.11212,-0.23630,0.06215,0.10512
N0088,-0.46486,0.79255,1.03224,-0.30984
N0089,1.85977,-0.07243,-1.44854,0.91242
N0090,-0.84704,-0.89761,-0.65425,-0.08876
N0091,-0.23947,-0.51456,-1.16673,0.73189
N0092,1.50429,2.57906,0.36135,-0.27607
N0093,0.89392,0.84948,-0.62906,-0.11322
N0094,1.62431,1.46205,-0.50893,-0.06519
N0095,-0.98195,-1.04318,-0.30614,0.80783
N0096,0.13631,-0.76558,-1.55495,1.11036
N0097,-0.75192,0.46456,1.28808,0.35114
N0098,-0.69020,0.67570,2.36352,-2.13037
N0099,0.10552,-0.21002,-0.34709,0.70177
N0100,1.10947,-0.06637,-0.37358,1.14210
N0101,-1.06763,-0.78749,0.00605,-0.58636
N0102,1.14588,0.80799,0.36911,-0.57863
N0103,1.53102,0.58656,-1.20323,0.83053
N0104,1.11526,0.44067,-1.81147,-0.44656
N0105,-0.44711,-0.19535,-0.94392,-0.40719
N0106,-1.14718,-1.65819,0.73991,-0.63847
N0107,0.21683,0.33294,1.26123,-0.60652
N0108,0.63773,1.31003,1.45053,-0.55892
N0109,-1.45905,0.07261,3.12240,-1.58018
N0110,0.05546,-0.64901,1.18178,-0.43129
N0111,-0.27457,-1.02156,-0.41077,1.44669
N0112,-0.32557,0.00313,0.17262,0.30752
N0113,1.20155,1.66173,-0.12046,0.20215
N0114,-0.12209,1.35834,1.02310,0.09441
N0115,-0.13002,-0.11064,-0.39507,-0.09640
N0116,-0.24064,-0.49943,0.40195,-0.86519
N0117,-0.90441,-1.01046,-0.07279,-0.25839
N0118,-0.51002,-0.82345,-0.42868,-0.20434
N0119,-1.45553,-2.05439,0.68822,0.21764
N0120,-1.09270,-1.12612,-1.02930,0.49065
N0121,-0.89545,-0.97356,0.60590,0.72845
N0122,-0.46306,0.78999,1.23102,-0.04373
N0123,-0.55099,-0.66368,-1.17166,1.07643
N0124,0.05224,0.94007,0.59514,-0.85599
N0125,0.82900,-0.23071,-1.33220,1.10834
N0126,0.76487,-0.03383,-0.06037,0.38927
N0127,0.03380,-0.38394,-0.58940,0.76945
N0128,-0.49247,-1.57765,-1.01890,1.10099
N0129,-0.65705,-1.25914,0.15757,0.60209
N0130,-0.52008,0.83775,1.22870,-0.20862
N0131,0.60817,-0.34420,-2.62471,1.68119
N0132,0.48639,0.22060,0.57637,-0.74393
N0133,1.05696,0.37089,-1.33201,0.82224
N0134,-1.07736,-0.10858,-0.04125,0.33875
N0135,-1.50504,-1.15287,0.94306,-0.22689
N0136,1.64996,0.77594,-1.57099,0.37245
N0137,1.16959,0.83839,-1.12626,0.95699
N0138,-1.12544,-1.09258,0.67578,-0.58973
N0139,1.40513,0.88704,-1.49782,1.20656
N0140,0.37340,-0.53640,-1.69966,0.58025
N0141,-0.73040,0.68050,2.35927,-0.11944
N0142,1.34431,0.78081,-0.10313,-0.62782
N0143,1.09236,-0.12151,-1.65587,0.58054
N0144,0.58496,0.69026,1.76186,-1.74704
N0145,-0.83775,-0.04303,0.10993,-1.19861
N0146,1.48689,0.43816,-1.10036,-0.30978
N0147,0.22839,0.25358,-0.58008,0.68339
N0148,0.23230,0.36800,0.96817,-0.31090
N0149,-0.14460,-0.29332,1.15370,-0.95207
N0150,0.97111,1.18754,-0.74186,0.01777
N0151,0.80703,0.46736,-1.46238,1.27440
N0152,-0.49558,1.48457,1.99493,-0.98215
N0153,-1.37523,-1.25155,0.38410,-0.04762
N0154,-1.71032,-0.18496,0.10987,1.26084
N0155,0.79772,0.59567,-0.06752,0.49219
N0156,-1.60934,-1.76466,1.45979,-1.90426
N0157,0.06915,0.70991,0.00531,-0.34665
N0158,-0.28914,-0.11487,0.16354,-0.76866
N0159,-0.03780,0.05543,-0.53263,0.82106
N0160,-0.65367,-0.44064,-0.76896,-0.20105
N0161,-0.59778,-0.62596,1.22265,-0.85781
N0162,0.10783,0.06260,0.85645,-0.83944
N0163,0.62116,-0.08438,-0.78245,0.03914
N0164,1.01213,-0.13246,-0.90541,1.02651
N0165,0.49010,0.03111,-0.88569,0.80853
N0166,-0.93291,-0.06144,0.98843,-0.14824
N0167,-0.01850,0.53429,0.70896,-0.71723
N0168,-0.25649,1.37393,1.04762,-0.02751
N0169,1.71012,0.72564,-0.08539,-0.81619
N0170,0.24838,-1.25999,-0.93230,0.96595
N0171,1.41938,1.34689,-0.44146,0.28594
N0172,1.05921,0.25266,-2.44034,0.44687
N0173,0.03913,-0.37861,0.49172,-0.32082
N0174,0.27541,0.26769,-0.42433,-0.64589
N0175,0.26510,-0.55848,-0.71660,0.04215
N0176,0.06103,-0.41072,-0.46431,-0.82685
N0177,1.81739,1.41066,-2.40048,2.00267
N0178,0.11072,0.36456,-0.00423,0.38338
N0179,0.76654,-0.08643,0.13053,0.05618
N0180,-0.64221,-0.37926,-0.51170,0.85096
N0181,1.00225,0.46181,-1.26622,0.79262
N0182,-1.80833,-0.57330,1.49264,-0.65336
N0183,-0.57238,0.43214,0.89918,-0.44894
N0184,-0.27852,-0.17395,-0.78571,0.64083
N0185,0.12445,0.28726,0.59071,0.00476
N0186,0.83822,0.72519,-1.68901,1.40715
N0187,-1.92527,-1.60699,0.29571,0.12137
N0188,0.18372,0.79083,-0.05621,0.19546
N0189,-0.29719,1.50367,1.70717,-0.47618
N0190,1.97508,0.73735,-2.02495,0.28775
N0191,1.90068,0.54672,-1.64558,1.93848
N0192,0.66662,1.08610,-1.07891,-0.42535
N0193,2.21651,1.82793,0.29999,0.48316
N0194,0.99929,-0.28570,-0.80216,0.40056
N0195,1.52185,0.44051,-1.54033,0.81158
N0196,-0.97919,-0.30589,0.27205,-1.90309
N0197,0.20651,-0.91586,0.05922,0.63017
N0198,0.92568,1.40748,-0.23723,0.31391
N0199,-1.21381,-0.23137,1.53476,-0.96531
N0200,0.24886,-0.70070,0.12460,-0.91002
N0201,2.00311,2.42995,-0.28420,-0.09863
N0202,-0.66450,0.10573,1.15393,0.30761
N0203,0.84511,1.31065,0.32831,-0.16933
N0204,-0.10574,0.53303,0.40521,-0.17409
N0205,0.17189,0.95843,0.59870,-1.06503
N0206,-0.96239,-1.23489,0.56503,0.94794
N0207,-0.37828,-0.71774,-0.56026,0.66339
N0208,-0.77354,-0.82098,0.78335,-0.11181
N0209,-0.02832,-0.34508,-0.40539,-0.03251
N0210,-0.77402,-2.16607,-0.66571,-0.39171
N0211,-0.81459,-0.45777,-0.17873,0.35842
N0212,-0.78576,-1.17979,0.23731,-0.00450
N0213,0.74254,0.74806,2.03619,-0.33962
N0214,0.86068,2.46091,1.41006,-0.56071
N0215,-1.02210,-0.59848,0.53923,-0.45284
N0216,0.10402,1.71793,1.39694,-0.13349
N0217,2.73964,1.28514,-1.75838,0.40102
N0218,1.18288,0.41668,1.58328,0.42344
N0219,-1.16128,-0.90582,-0.63668,-0.01700
N0220,0.41509,0.40745,0.68458,-0.28546
N0221,1.50975,1.78252,0.13191,-1.15232
N0222,-0.03342,1.45996,0.13907,-0.27079
N0223,-0.08919,1.11711,0.23193,0.16939
N0224,0.43166,0.09933,-0.99527,-0.10408
N0225,-0.39608,-0.12924,1.74040,-1.00124
N0226,-0.11872,-0.36875,0.75062,-0.88677
N0227,-0.53022,-0.09489,1.73329,-1.45205
N0228,0.96895,-0.59062,-1.71430,0.35917
N0229,-0.51393,-0.59296,0.14849,0.12262
N0230,-1.20147,-0.51692,1.35438,-0.77779
N0231,0.86542,0.83256,0.76027,-0.50857
N0232,1.81421,0.26795,-1.55352,1.83015
N0233,-1.29693,-0.46496,0.54817,-1.01676
N0234,0.53369,0.78238,0.21569,-0.40940
N0235,1.01921,1.24333,-0.03111,0.81882
N0236,0.29134,-0.03321,0.09718,0.29956
N0237,-0.19937,-0.86500,-0.62585,1.17117
N0238,2.10603,2.84132,-0.94389,0.79745
N0239,-1.11517,0.71867,1.52714,-0.82352
N0240,2.39074,1.72268,0.14058,0.78105
N0241,1.61677,2.31762,0.05166,-0.80243
N0242,-0.58464,-0.42869,1.22733,-1.45926
N0243,0.86842,1.33461,0.02474,-0.01672
N0244,-0.41453,-0.03859,0.87409,-0.77452
N0245,0.73506,1.38794,0.82232,0.04553
N0246,-0.77295,-1.75659,-0.06086,1.94763
N0247,1.84025,1.74045,0.08519,-1.26308
N0248,-1.31183,-0.11342,1.59255,-0.51427
N0249,-1.92053,-1.95909,1.56892,-0.05620
N0250,-0.85753,-1.15608,0.33090,0.81605
N0251,0.92993,1.28490,0.77689,-0.60890
N0252,-0.55082,-0.37382,1.10640,-0.75402
N0253,1.32967,1.25505,-0.40328,-0.11337
N0254,1.11353,0.51974,-1.87163,0.76820
N0255,-0.01534,-0.75290,0.02216,-0.03934
N0256,-0.45671,-0.85944,0.04745,0.57861
N0257,0.03649,0.13869,0.02987,1.94203
N0258,-0.83380,-1.30735,1.38196,0.43608
N0259,-0.18214,0.62126,-0.45867,-0.02314
N0260,-0.00881,0.48243,0.29779,-0.21850
N0261,1.35396,0.57459,-1.63437,-0.81670
N0262,1.77884,1.82808,-0.61316,0.29064
N0263,-0.67602,-0.78603,-0.25195,-0.38099
N0264,-0.05803,-0.31306,0.38963,-0.42868
N0265,-0.97177,-1.29684,-0.38418,0.98289
N0266,-0.11990,1.20957,0.09374,0.17615
N0267,0.25433,-0.10491,0.28366,-0.06005
N0268,0.36929,-0.97553,-1.43537,0.26164
N0269,1.31360,2.18103,0.14795,-0.92907
N0270,-0.15224,-0.63870,-0.19014,1.03111
N0271,-0.14941,1.28774,1.25036,-0.59220
N0272,-0.81809,-0.49123,-0.07019,0.76933
N0273,-0.22171,-1.71433,-2.47711,1.89666
N0274,0.27811,-0.92828,-0.75276,0.68714
N0275,-0.71101,-0.35448,0.75646,-0.10626
N0276,-1.12014,-0.81370,-0.12717,0.11288
N0277,0.92649,-0.25244,-0.67185,0.84662
N0278,-1.47288,-2.07620,0.27761,0.92333
N0279,-1.22037,-1.42910,0.34762,1.19218
N0280,1.55215,2.59755,0.38815,-0.49537
N0281,-0.40501,0.50623,-0.96463,-0.07513
N0282,0.22127,1.28249,0.52687,-0.15776
N0283,0.98473,-0.69083,-1.96521,1.50875
N0284,1.49573,1.37450,-0.14275,0.27345
N0285,0.58666,1.60568,1.19249,-1.36776
N0286,1.87751,2.92598,0.91642,-2.15717
N0287,1.26919,0.68210,-1.68191,-0.10472
N0288,0.72093,1.36475,-0.52479,-0.22721
N0289,-0.81022,-0.58270,-0.31742,-0.22190
N0290,-0.03330,0.64896,0.22586,0.09993
N0291,1.80593,2.03084,0.07401,-0.36630
N0292,0.61323,0.43085,0.46331,-0.63369
N0293,0.65444,0.62257,0.19021,-0.65833
N0294,0.82693,0.88930,0.11101,0.02768
N0295,0.59708,0.79484,1.00279,-0.10372
N0296,-0.99526,-0.90461,-1.08367,-0.00949
N0297,-0.00235,-0.23326,0.56585,-0.84014
N0298,0.53864,2.42347,1.66941,-1.69435
N0299,-0.25306,0.99211,0.93909,-2.04021
N0300,-0.55531,0.30249,1.77426,-0.83934
N0301,1.11182,1.96367,-1.32528,-1.19411
N0302,-0.08924,1.01366,0.93647,-1.10091
N0303,-1.26715,-1.62891,0.26823,-0.64948
N0304,1.06544,0.51189,-0.59913,1.21222
N0305,-0.66421,-0.15219,0.99092,-0.15440
N0306,-0.24688,1.53820,1.10833,-1.06385
N0307,-0.43249,-1.46847,-0.74997,0.88239
N0308,-1.13846,-1.02482,1.13002,-0.08228
N0309,0.80748,0.86506,-0.28743,-0.29844
N0310,2.01854,2.08216,-0.10910,-0.21636
N0311,2.46083,1.74754,-2.00099,1.03638
N0312,0.59184,-0.29575,-0.19134,-0.05795
N0313,-0.73062,-0.40565,-0.12521,-0.38319
N0314,0.91455,0.05766,-1.44738,0.41524
N0315,1.08521,1.18310,-0.27599,-0.71742
N0316,0.61477,1.08059,0.63637,-0.59102
N0317,-0.36763,0.05232,-1.04539,0.52400
N0318,1.74552,1.42862,-1.41429,-0.49740
N0319,0.28633,0.61969,-0.62784,0.44625
N0320,-1.96979,-1.62887,0.61319,-0.62278
N0321,-0.27055,-0.52172,-0.53717,0.23652
N0322,1.73652,0.57479,-1.06229,1.21628
N0323,0.42540,0.11253,0.51238,0.43067
N0324,-1.53488,-1.27665,0.40394,0.07362
N0325,-2.00957,-0.87329,0.93170,-1.62083
N0326,1.44086,0.69470,-1.33282,0.90401
N0327,-0.01963,0.66225,-0.34115,-0.24827
N0328,-0.73667,-0.83215,0.92784,-0.54055
N0329,1.56847,0.47829,-1.58833,0.72806
N0330,1.12858,0.28530,-0.66410,-0.14801
N0331,1.54048,0.91651,-0.75626,1.40595
N0332,0.14182,-0.55018,0.21675,-0.46953
N0333,-0.09854,0.16201,-0.29798,0.25733
N0334,-1.63177,-2.04450,0.87715,-0.17351
N0335,-0.22843,-0.31162,0.68199,-0.81929
N0336,1.85512,2.23112,-1.28910,0.50346
N0337,0.24788,0.25081,0.41289,-0.65436
N0338,3.02850,2.13831,-1.41579,0.50575
N0339,0.72767,0.62483,-1.01555,0.04153
N0340,0.45287,0.50563,-0.82301,0.97117
N0341,0.22730,-0.56725,-0.31164,0.74418
N0342,0.86292,0.59903,0.01275,-0.05803
N0343,0.60285,0.28693,0.76228,-0.66702
N0344,-0.18920,-0.52415,0.54549,0.41541
N0345,1.62177,0.43887,-0.81822,-1.19765
N0346,0.74390,-0.04114,-0.90701,1.06583
N0347,0.07296,-0.21082,0.25085,-1.64485
N0348,0.49607,-1.08652,-0.51433,0.77345
N0349,1.76531,0.91972,-0.69554,-0.44488
N0350,-1.06804,-1.29005,0.39473,-0.01360
N0351,-0.71901,-1.15585,0.27514,0.76936
N0352,0.10319,0.24361,-0.65647,0.67458
N0353,-0.13978,1.48759,1.82258,-1.52104
N0354,-0.57632,-0.09275,0.15479,-1.11671
N0355,-0.98520,-0.69532,0.83920,0.82443
N0356,0.25867,0.02279,-1.24533,1.53436
N0357,0.77365,-0.65575,-2.72800,1.20500
N0358,-0.14835,0.09431,0.05793,0.33206
N0359,0.68770,0.20688,-0.44578,-0.60837
N0360,-0.56149,-1.01106,0.37298,0.54306
N0361,-0.51308,0.19313,-0.08887,0.64784
N0362,1.33206,1.32711,-1.39101,0.55965
N0363,-0.08018,-0.15634,-0.39783,0.58920
N0364,0.17060,-0.45259,-0.39201,0.91842
N0365,1.12025,-0.19815,-2.06327,1.72918
N0366,-0.66677,-1.71785,-1.16627,1.09047
N0367,-0.02207,0.60029,0.47626,-1.22872
N0368,0.37093,-0.05068,0.44759,-0.07680
N0369,-0.19833,-0.86256,-0.79337,-1.04768
N0370,1.05923,1.33610,-0.90605,0.35327
N0371,0.00217,-0.32176,-0.49032,0.83239
N0372,1.79806,0.72099,-1.27071,0.44676
N0373,-0.94624,-0.38694,0.28957,-0.23792
N0374,-0.59580,-0.03052,1.58923,-1.87609
N0375,1.71437,1.25160,-0.27555,1.13853
N0376,0.92800,-0.23765,-0.84366,0.56669
N0377,0.52960,0.42499,-1.17262,0.73330
N0378,-0.20668,-0.57551,0.09327,1.58544
N0379,-0.61744,-0.71444,1.02620,0.59683
N0380,0.69486,1.24751,0.70120,0.08435
N0381,0.76081,0.08799,1.15381,-0.94066
N0382,0.22142,0.80022,-0.98762,0.83500
N0383,-0.09121,0.44181,0.50548,0.30880
N0384,1.85732,1.09217,-0.92109,-0.19856
N0385,-0.57354,-1.33908,-0.64892,1.72928
N0386,1.61718,0.60682,-0.62826,1.42670
N0387,1.04674,0.92403,-0.57927,-0.18636
N0388,0.62590,0.47634,-1.58947,0.54321
N0389,-0.09509,0.56693,1.23082,-1.00156
N0390,-0.89571,-0.46021,1.36946,0.15465
N0391,-2.54696,-0.54113,2.11066,-0.83447
N0392,0.72692,0.91951,-1.15431,0.69389
N0393,-0.37829,-0.34454,-0.56849,0.11961
N0394,2.19619,1.90805,-1.59538,1.01080
N0395,0.25810,1.24782,-0.05699,-0.55922
N0396,-0.58162,-1.07726,0.85957,-0.86319
N0397,-0.32439,-1.00037,1.18454,-0.19701
N0398,0.12165,-0.14000,-0.00951,0.02381
N0399,0.17745,0.66923,0.89762,-1.29134
N0400,1.35441,1.32763,-1.18013,0.80852
N0401,-2.05564,-1.55900,1.02669,0.35707
N0402,0.26274,-0.17593,-0.13162,-0.26525
N0403,0.16592,0.12971,-1.18405,0.53505
N0404,-0.41870,0.03784,1.31718,-1.35014
N0405,-0.24937,-1.01910,0.28346,-0.38240
N0406,-1.03688,-1.10924,1.50313,0.43310
N0407,-2.15358,-0.93021,2.42965,-0.90227
N0408,1.70843,0.70849,-2.60131,1.70002
N0409,-2.04949,-1.99160,1.30135,-0.51097
N0410,-0.57029,0.08342,1.01461,-0.35628
N0411,1.78073,0.63834,-1.54680,1.09819
N0412,-0.13350,0.30773,0.72676,0.26175
N0413,1.53058,0.52566,-1.27246,1.41961
N0414,0.23499,0.35735,0.06898,1.26558
N0415,0.37439,1.07209,-0.70140,-0.79178
N0416,-0.63978,-1.11928,0.77452,0.44909
N0417,0.14344,-0.24323,-0.40921,0.20675
N0418,0.98603,0.21242,-1.84384,1.66623
N0419,-0.87092,-1.25705,-0.29084,0.03636
N0420,1.71873,0.23285,-2.78509,0.98623
N0421,1.11999,0.23657,-0.56139,0.27869
N0422,0.04322,0.45959,0.16289,-0.47625
N0423,-1.49268,-1.13542,1.34899,-0.11655
N0424,0.89542,0.65251,-0.72731,0.00858
N0425,-0.52657,-0.41800,-0.32888,0.42579
N0426,-1.43339,-1.25707,1.11391,-0.65116
N0427,0.27735,-0.47962,-1.67010,0.34520
N0428,-0.09416,0.92503,-0.91121,-0.28745
N0429,-0.99878,-0.02586,0.92492,-0.40408
N0430,-0.21993,0.12783,1.23844,-1.00143
N0431,0.99450,0.96539,-0.19606,0.76771
N0432,0.38540,0.21008,-0.45365,-0.70516
N0433,0.40759,0.63748,-0.13250,-0.03491
N0434,-1.42373,-0.90039,1.45403,-0.40098
N0435,-0.88724,-0.74902,1.21318,-0.66757
N0436,-0.63023,-1.14687,-0.42800,0.36251
N0437,0.24201,0.16587,0.35110,0.48247
N0438,-0.38757,-0.64799,-1.01767,1.03884
N0439,-0.77033,-0.19539,0.77720,-0.73760
N0440,0.46649,0.41701,0.68685,-0.58851
N0441,0.22762,0.63003,-0.18354,-0.04125
N0442,-0.94095,-1.33703,-0.32710,1.32006
N0443,2.64327,1.34960,-0.90951,0.99521
N0444,0.26654,-0.20013,-0.39521,0.19861
N0445,0.33510,-0.59866,-0.92899,0.38998
N0446,1.21787,0.83326,-0.76295,-0.43376
N0447,1.43997,1.07136,-0.49768,0.76964
N0448,1.87600,1.28520,-1.68170,-0.56130
N0449,-1.67378,-0.81215,1.60615,-0.72512
N0450,-0.32475,0.45121,1.37443,-1.45466
N0451,-1.30500,-2.12870,-0.14987,0.07420
N0452,0.97516,1.15104,1.61226,-0.48580
N0453,0.25978,0.80558,-1.72282,0.44472
N0454,0.76856,1.11353,0.26871,-0.01403
N0455,0.36043,-0.43201,-1.23431,0.97997
N0456,0.09532,1.35152,1.85457,-0.80899
N0457,0.50136,-0.25183,-1.46585,0.99992
N0458,0.58903,0.07848,-0.32321,0.65972
N0459,-1.89386,-0.81155,1.16822,-0.14643
N0460,0.10291,-0.28941,-0.82080,0.05435
N0461,0.02914,-0.08055,-0.21970,-1.10988
N0462,0.00327,-0.04870,-0.90027,0.31824
N0463,1.32690,1.78036,-0.28411,-0.25663
N0464,-0.19582,-0.75991,-0.51128,-0.01896
N0465,0.35129,-1.33238,-1.02515,1.09289
N0466,-1.10228,-1.15133,-0.51676,0.48792
N0467,1.08376,0.19694,-0.96735,-0.25953
N0468,1.40030,1.05114,-0.40278,-0.56733
N0469,0.48799,0.43045,-0.66752,1.02981
N0470,-0.31295,0.72771,0.50185,-0.80160
N0471,0.38608,0.05381,-0.57228,1.31956
N0472,0.37044,0.15997,-1.19928,-0.29635
N0473,-0.91673,-0.56471,0.46692,0.52989
N0474,-0.42624,0.25439,-0.67666,0.17827
N0475,0.65977,1.21428,-0.04557,-1.51590
N0476,-0.81262,-1.17827,-0.62680,0.56604
N0477,-1.06085,-0.19509,0.80880,0.08045
N0478,-0.63223,-1.07274,-0.05733,0.72577
N0479,-0.42986,-0.41178,0.37274,0.13319
N0480,-0.60048,-0.45468,-0.15577,0.31619
N0481,-0.83702,-1.04970,-1.34641,0.65050
N0482,-0.67852,-0.20260,0.67942,0.21009
N0483,-0.29547,-0.78595,0.20811,-0.01484
N0484,-1.46394,-0.57631,1.81472,0.04039
N0485,-0.62116,0.71204,1.02968,-0.79818
N0486,0.20733,1.76121,1.32704,-1.66349
N0487,-0.19991,-0.39566,0.47457,1.18268
N0488,0.50189,0.29169,1.22781,-0.83022
N0489,1.01674,0.87210,-0.27323,0.21178
N0490,-1.31765,-0.68726,1.35400,-0.37337
N0491,-0.09301,-0.24204,0.70391,-0.28185
N0492,0.25453,0.95404,1.38906,-1.45926
N0493,-0.81595,-0.71377,0.18490,0.58955
N0494,-0.31335,0.28664,-0.22648,0.48786
N0495,0.98562,2.11343,-0.87269,0.95295
N0496,0.81838,0.25869,-1.36938,0.48031
N0497,0.45293,0.85585,0.11886,-0.43605
N0498,2.57972,1.24935,-1.52998,0.88337
N0499,1.51937,0.88454,-2.02984,-0.44644
