unit_id,machine,yield_pct
U0167,beta,71.961
U0168,beta,70.437
U0169,beta,78.542
U0170,beta,74.399
U0171,beta,76.231
U0172,beta,78.035
U0173,beta,76.979
U0174,beta,75.571
U0175,beta,76.738
U0176,beta,74.242
U0177,beta,73.616
U0178,beta,74.280
U0179,beta,76.918
U0180,beta,73.625
U0181,beta,73.808
U0182,beta,78.790
U0183,beta,79.165
U0184,beta,69.824
U0185,beta,74.953
U0186,beta,75.496
U0187,beta,76.719
U0188,beta,76.889
U0189,beta,77.014
U0190,beta,81.551
U0191,beta,72.182
U0192,beta,77.551
U0193,beta,75.555
U0194,beta,75.096
U0195,beta,74.167
U0196,beta,71.699
U0197,beta,80.327
U0198,beta,71.607
U0199,beta,71.026
U0200,beta,70.298
U0201,beta,74.311
U0202,beta,73.556
U0203,beta,72.563
U0204,beta,73.214
U0205,beta,76.747
U0206,beta,73.806
U0207,beta,74.513
U0208,beta,75.477
U0209,beta,75.057
U0210,beta,76.027
U0211,beta,77.496
U0212,beta,80.570
U0213,beta,66.524
U0214,beta,74.788
U0215,beta,77.580
U0216,beta,75.063
U0217,beta,79.665
U0218,beta,73.459
U0219,beta,73.678
U0220,beta,75.771
U0221,beta,75.826
U0222,beta,74.623
U0223,beta,69.929
U0224,beta,72.568
U0225,beta,74.429
U0226,beta,82.414
U0227,beta,73.563
U0228,beta,82.560
U0229,beta,68.416
U0230,beta,78.208
U0231,beta,72.634
U0232,beta,76.071
U0233,beta,72.826
U0234,beta,72.101
U0235,beta,73.377
U0236,beta,72.118
U0237,beta,76.376
U0238,beta,76.687
U0239,beta,78.117
U0240,beta,74.480
U0241,beta,77.342
U0242,beta,73.229
U0243,beta,79.433
U0244,beta,77.344
U0245,beta,69.006
U0246,beta,68.994
U0247,beta,77.620
U0248,beta,72.251
U0249,beta,74.391
U0250,beta,68.355
U0251,beta,70.768
U0252,beta,75.149
U0253,beta,75.542
U0254,beta,73.429
U0255,beta,71.562
U0256,beta,73.903
U0257,beta,74.734
U0258,beta,74.977
U0259,beta,73.455
U0260,beta,76.577
U0261,beta,73.193
U0262,beta,74.005
U0263,beta,68.749
U0264,beta,75.792
U0265,beta,78.299
U0266,beta,69.982
U0267,beta,71.708
U0268,beta,72.515
U0269,beta,73.223
U0270,beta,68.094
U0271,beta,79.811
U0272,beta,75.205
U0273,beta,75.659
U0274,beta,79.260
U0275,beta,76.996
U0276,beta,75.852
U0277,beta,72.350
U0278,beta,73.577
U0279,beta,67.663
U0280,beta,76.345
U0281,beta,75.263
U0282,beta,79.990
U0283,beta,76.398
U0284,beta,74.179
U0285,beta,75.268
U0286,beta,74.857
U0287,beta,74.407
U0288,beta,72.216
U0289,beta,76.751
U0290,beta,72.409
U0291,beta,81.680
U0292,beta,71.765
U0293,beta,76.277
U0294,beta,70.019
U0295,beta,70.232
U0296,beta,75.917
U0297,beta,72.103
U0298,beta,72.679
U0299,beta,76.088
U0300,beta,76.671
U0301,beta,74.915
U0302,beta,75.763
U0303,beta,76.504
U0304,beta,78.108
U0305,beta,73.001
U0306,beta,79.710
U0307,beta,69.411
U0308,beta,72.686
U0309,beta,71.863
U0310,gamma,66.265
U0311,gamma,69.541
U0312,gamma,72.754
U0313,gamma,66.033
U0314,gamma,75.106
U0315,gamma,72.043
U0316,gamma,70.154
U0317,gamma,71.523
U0318,gamma,69.814
U0319,gamma,69.282
U0320,gamma,68.698
U0321,gamma,72.654
U0322,gamma,64.877
U0323,gamma,76.948
U0324,gamma,72.838
U0325,gamma,69.020
U0326,gamma,66.965
U0327,gamma,68.023
U0328,gamma,73.756
U0329,gamma,72.628
U0330,gamma,73.265
U0331,gamma,73.526
U0332,gamma,67.237
U0333,gamma,70.672
U0334,gamma,69.394
U0335,gamma,72.016
U0336,gamma,71.680
U0337,gamma,69.711
U0338,gamma,68.323
U0339,gamma,66.174
U0340,gamma,64.752
U0341,gamma,70.741
U0342,gamma,69.415
U0343,gamma,78.580
U0344,gamma,70.081
U0345,gamma,71.851
U0346,gamma,77.463
U0347,gamma,66.299
U0348,gamma,72.579
U0349,gamma,70.179
U0350,gamma,72.585
U0351,gamma,73.839
U0352,gamma,69.499
U0353,gamma,69.394
U0354,gamma,68.847
U0355,gamma,70.949
U0356,gamma,65.803
U0357,gamma,65.771
U0358,gamma,67.023
U0359,gamma,70.274
U0360,gamma,70.394
U0361,gamma,67.485
U0362,gamma,72.354
U0363,gamma,73.285
U0364,gamma,73.670
U0365,gamma,71.648
U0366,gamma,79.628
U0367,gamma,73.744
U0368,gamma,73.562
U0369,gamma,69.508
U0370,gamma,70.402
U0371,gamma,68.418
U0372,gamma,64.572
U0373,gamma,73.791
U0374,gamma,72.686
U0375,gamma,73.468
U0376,gamma,67.957
U0377,gamma,71.574
U0378,gamma,75.981
U0379,gamma,70.744
U0380,gamma,67.662
U0381,gamma,64.062
U0382,gamma,70.213
U0383,gamma,67.819
U0384,gamma,66.000
U0385,gamma,70.449
U0386,gamma,73.099
U0387,gamma,70.995
U0388,gamma,69.629
U0389,gamma,68.756
U0390,gamma,74.835
U0391,gamma,70.119
U0392,gamma,72.757
U0393,gamma,70.599
U0394,gamma,72.831
U0395,gamma,71.539
U0396,gamma,69.410
U0397,gamma,70.985
U0398,gamma,73.907
U0399,gamma,62.084
U0400,gamma,74.871
U0401,gamma,70.491
U0402,gamma,71.086
U0403,gamma,72.150
U0404,gamma,66.337
U0405,gamma,72.279
U0406,gamma,66.323
U0407,gamma,66.232
U0408,gamma,68.823
U0409,gamma,74.095
U0410,gamma,70.558
U0411,gamma,71.883
U0412,gamma,69.833
U0413,gamma,70.063
U0414,gamma,71.836
U0415,gamma,71.379
U0416,gamma,72.259
U0417,gamma,68.239
U0418,gamma,71.228
U0419,gamma,75.051
U0420,gamma,72.407
U0421,gamma,68.589
U0422,gamma,75.387
U0423,gamma,74.215
U0424,gamma,74.647
U0425,gamma,73.493
U0426,gamma,71.175
U0427,gamma,67.243
U0428,gamma,71.005
U0429,gamma,66.316
U0430,gamma,69.686
U0431,gamma,73.143
U0432,gamma,77.733
U0433,gamma,73.044
U0434,gamma,69.469
U0435,gamma,68.652
U0436,gamma,68.806
U0437,gamma,73.525
U0438,gamma,72.701
U0439,gamma,71.200
U0440,gamma,69.249
U0441,gamma,72.733
U0442,gamma,74.486
U0443,gamma,65.673
U0444,gamma,75.240
U0445,gamma,68.880
U0446,gamma,68.071
U0447,gamma,68.596
U0448,gamma,71.472
U0449,gamma,68.783
U0450,gamma,70.917
U0451,gamma,73.976
U0452,gamma,68.159
U0453,gamma,74.137
U0454,gamma,69.382
U0455,gamma,72.257
U0456,gamma,67.431
U0457,gamma,74.431
U0458,gamma,72.041
U0459,gamma,68.435
U0460,gamma,69.482
U0461,gamma,72.768
U0462,gamma,72.634
U0463,gamma,65.429
U0464,gamma,69.327
U0465,delta,73.412
U0466,delta,78.776
U0467,delta,73.987
U0468,delta,73.859
U0469,delta,73.031
U0470,delta,72.108
U0471,delta,74.514
U0472,delta,77.522
U0473,delta,78.438
U0474,delta,71.616
U0475,delta,76.095
U0476,delta,77.150
U0477,delta,77.888
U0478,delta,78.740
U0479,delta,74.163
U0480,delta,74.744
U0481,delta,76.267
U0482,delta,74.790
U0483,delta,78.183
U0484,delta,77.252
U0485,delta,77.909
U0486,delta,76.096
U0487,delta,80.323
U0488,delta,77.191
U0489,delta,79.413
U0490,delta,76.201
U0491,delta,78.049
U0492,delta,77.019
U0493,delta,75.856
U0494,delta,75.465
U0495,delta,71.619
U0496,delta,75.853
U0497,delta,73.853
U0498,delta,75.936
U0499,delta,80.367
U0500,delta,78.335
U0501,delta,73.859
U0502,delta,83.960
U0503,delta,76.184
U0504,delta,77.607
U0505,delta,71.788
U0506,delta,81.100
U0507,delta,76.978
U0508,delta,78.650
U0509,delta,83.057
U0510,delta,76.148
U0511,delta,77.075
U0512,delta,72.789
U0513,delta,77.462
U0514,delta,75.442
U0515,delta,77.196
U0516,delta,75.830
U0517,delta,79.035
U0518,delta,68.040
U0519,delta,76.775
U0520,delta,74.453
U0521,delta,73.722
U0522,delta,77.595
U0523,delta,79.499
U0524,delta,79.616
U0525,delta,79.001
U0526,delta,76.649
U0527,delta,81.126
U0528,delta,76.282
U0529,delta,76.248
U0530,delta,74.441
U0531,delta,74.003
U0532,delta,78.027
U0533,delta,77.815
U0534,delta,77.721
U0535,delta,76.199
U0536,delta,69.756
U0537,delta,70.133
U0538,delta,76.631
U0539,delta,75.559
U0540,delta,76.043
U0541,delta,76.814
U0542,delta,72.083
U0543,delta,78.560
U0544,delta,72.169
U0545,delta,77.611
U0546,delta,77.286
U0547,delta,75.697
U0548,delta,75.944
U0549,delta,81.137
U0550,delta,79.092
U0551,delta,81.613
U0552,delta,78.320
U0553,delta,80.154
U0554,delta,74.305
U0555,delta,78.881
U0556,delta,71.837
U0557,delta,74.449
U0558,delta,75.835
U0559,delta,78.097
U0560,delta,76.167
U0561,delta,77.603
U0562,delta,79.529
U0563,delta,74.843
U0564,delta,73.551
U0565,delta,80.427
U0566,delta,71.247
U0567,delta,77.155
U0568,delta,79.199
U0569,delta,80.402
U0570,delta,75.523
U0571,delta,76.966
U0572,delta,74.590
U0573,delta,75.740
U0574,delta,78.285
U0575,delta,77.520
U0576,delta,78.482
U0577,delta,75.172
U0578,delta,75.377
U0579,delta,78.704
U0580,delta,75.921
U0581,delta,80.495
U0582,delta,77.658
U0583,delta,76.620
U0584,delta,73.117
U0585,delta,73.510
U0586,delta,69.736
U0587,delta,72.618
U0588,delta,75.645
U0589,delta,72.975
U0590,delta,76.045
U0591,delta,76.865
U0592,delta,77.482
U0593,delta,75.304
U0594,delta,73.264
U0595,delta,77.334
U0596,delta,75.048
U0597,delta,79.312
U0598,delta,77.408
U0599,delta,77.948
U0600,delta,77.900
U0601,delta,77.841
U0602,delta,77.314
U0603,delta,78.214
U0604,delta,84.945
U0605,delta,82.220
U0606,delta,72.869
U0607,delta,76.976
U0608,delta,72.803
U0609,delta,73.130
U0610,delta,76.118
U0611,delta,83.295
U0612,delta,80.476
U0613,delta,76.648
U0614,delta,78.807
U0615,delta,79.046
U0616,delta,72.151
U0617,delta,74.447
U0618,delta,77.019
U0619,delta,69.095
U0620,delta,76.701
U0621,delta,77.577
U0622,delta,74.980
U0623,delta,69.098
U0624,delta,71.885
U0625,delta,74.255
U0626,delta,82.800
U0627,delta,87.187
U0628,delta,76.547
U0629,delta,77.540
U0630,delta,73.740
U0631,delta,74.361
U0632,delta,75.296
U0633,delta,74.976
U0634,delta,73.726
U0635,delta,80.139
U0636,delta,70.338
U0637,delta,75.280
U0638,delta,77.216
U0639,delta,72.981
U0640,delta,78.869
U0641,delta,74.645
U0642,delta,80.773
U0643,delta,80.131
U0644,delta,79.873
U0645,delta,75.126
U0646,delta,71.557
U0647,delta,82.177
U0648,delta,78.638
U0649,delta,79.436
