point_id,px,py
K0212,-0.1254,-0.7437
K0213,3.8484,1.9625
K0214,-2.6145,5.0948
K0215,3.2487,1.7778
K0216,-1.4184,3.4978
K0217,0.7759,1.6265
K0218,4.2966,5.7880
K0219,-2.3035,4.7397
K0220,-1.9040,7.5322
K0221,1.0049,1.3219
K0222,4.0133,-0.2094
K0223,-1.4849,1.7942
K0224,0.3482,2.5752
K0225,3.9926,1.7050
K0226,1.4100,-1.2040
K0227,-0.2837,2.4193
K0228,-1.8225,1.6461
K0229,-1.9947,4.9647
K0230,-2.2412,3.9294
K0231,0.9874,2.5207
K0232,-1.0562,2.7512
K0233,0.1896,5.7000
K0234,-0.2058,4.0908
K0235,-0.2027,3.0518
K0236,-1.9826,2.7847
K0237,2.5326,0.8086
K0238,4.8503,1.2443
K0239,-0.8574,3.2844
K0240,-0.8771,1.7677
K0241,0.8157,-3.2010
K0242,3.5970,1.6040
K0243,-0.7543,4.1531
K0244,3.2121,2.2501
K0245,-1.0099,5.4472
K0246,2.6491,6.5471
K0247,3.2570,4.0994
K0248,2.7653,2.6937
K0249,-3.1091,1.9744
K0250,-2.5089,3.7905
K0251,-2.3936,3.5776
K0252,-2.3349,3.0869
K0253,2.7588,0.5580
K0254,4.2812,3.7310
K0255,1.5785,2.6508
K0256,-2.1772,2.5687
K0257,-2.2961,5.9650
K0258,1.8656,3.3050
K0259,1.9286,3.3458
K0260,-0.4520,-1.2277
K0261,3.1081,1.6958
K0262,-1.6477,4.6964
K0263,2.9949,-0.4468
K0264,0.4140,4.2729
K0265,-4.9222,6.6066
K0266,2.6130,2.9667
K0267,-2.8470,3.4496
K0268,0.5794,0.8910
K0269,-3.3721,5.7491
K0270,1.8009,1.3697
K0271,-0.7344,-1.5845
K0272,3.9840,0.2123
K0273,-0.0868,0.8886
K0274,-1.9855,1.5057
K0275,0.0372,5.5747
K0276,-2.0034,4.8611
K0277,0.4078,1.0395
K0278,-4.0412,4.7313
K0279,0.8554,2.0318
K0280,2.6778,-1.2527
K0281,-0.8134,-2.9918
K0282,-3.1640,4.3496
K0283,2.8759,1.7923
K0284,2.0344,4.3682
K0285,-1.6114,1.6258
K0286,-2.0440,-1.0675
K0287,-0.3235,5.5827
K0288,3.7085,3.8335
K0289,2.2379,2.1570
K0290,4.0443,1.2075
K0291,0.4145,2.7598
K0292,4.5528,2.5973
K0293,1.4818,2.1922
K0294,-1.1888,5.0979
K0295,-0.8410,0.2898
K0296,0.6517,1.3393
K0297,-1.8102,0.0602
K0298,-0.8768,-1.8293
K0299,0.9550,-0.0030
K0300,-1.7036,4.9180
K0301,2.4531,1.7047
K0302,-1.7477,-0.5977
K0303,0.3824,0.2227
K0304,2.6602,2.3420
K0305,0.6140,-1.5408
K0306,4.2209,2.1046
K0307,0.5743,1.6539
K0308,0.5928,-2.9011
K0309,4.7305,3.2043
K0310,4.6278,3.1205
K0311,-3.4942,2.8060
K0312,-1.6968,-0.2327
K0313,2.2088,-0.2504
K0314,-2.6538,6.8778
K0315,-0.0906,-2.1826
K0316,0.2105,-0.4500
K0317,0.7816,-1.3430
K0318,-3.1289,5.5990
K0319,4.9828,2.9831
K0320,2.6279,2.6963
K0321,-0.8759,1.5044
K0322,1.5902,-0.1215
K0323,5.4100,2.3800
K0324,-2.0772,5.0459
K0325,0.5104,1.0026
K0326,-0.6477,0.3746
K0327,1.5169,-0.2102
K0328,-3.0836,3.5521
K0329,2.5083,1.3538
K0330,5.7552,4.3905
K0331,2.8659,4.6955
K0332,-1.0924,-0.5972
K0333,-3.5330,-1.8565
K0334,-0.8428,3.7952
K0335,3.0938,2.6123
K0336,0.1702,-1.3528
K0337,3.6214,0.8528
K0338,-6.9041,4.1834
K0339,4.0865,3.7570
K0340,0.4682,1.3392
K0341,1.5936,2.8023
K0342,2.4428,2.2777
K0343,5.4703,1.1644
K0344,5.3541,0.1928
K0345,3.6083,2.5087
K0346,-1.5604,-1.7831
K0347,-2.3121,4.1343
K0348,-1.4127,5.0768
K0349,-2.9081,3.0006
K0350,5.3659,1.8374
K0351,0.3508,-1.7263
K0352,-3.7702,5.7292
K0353,0.5422,-2.1229
K0354,0.5703,1.5745
K0355,-3.8199,0.5101
K0356,-0.3576,0.4036
K0357,-1.4099,0.3885
K0358,2.3487,-0.5162
K0359,5.5819,3.7510
K0360,-1.7233,4.1914
K0361,0.6498,-2.5240
K0362,6.0209,4.3840
K0363,-1.5605,-3.7392
K0364,0.1260,-2.5394
K0365,-3.1049,3.0499
K0366,4.1703,2.0436
K0367,-0.9420,5.2691
K0368,-1.7577,4.6208
K0369,-2.1466,-0.2114
K0370,2.8252,0.3046
K0371,-0.7888,5.9440
K0372,2.6925,2.2093
K0373,-0.6313,4.4190
K0374,-3.5339,4.2425
K0375,-0.0200,-0.1321
K0376,4.5059,-0.4228
K0377,-2.8548,2.0687
K0378,2.8309,0.0066
K0379,-3.2275,2.9944
K0380,0.4678,0.8785
K0381,0.5980,-1.5517
K0382,-3.9125,4.0352
K0383,4.3235,-0.6123
K0384,-1.0439,-0.4674
K0385,-1.4707,6.4863
K0386,4.8550,1.3007
K0387,3.8556,2.2937
K0388,1.1507,1.1581
K0389,3.4278,2.7806
K0390,0.0880,-3.0054
K0391,-1.1634,1.2506
K0392,3.3870,2.0642
K0393,0.2728,0.3434
K0394,2.0778,2.5116
K0395,2.1560,0.1289
K0396,2.2798,5.2422
K0397,-1.3201,5.4036
K0398,6.0111,3.0809
K0399,2.4180,3.6172
