obs_id,x,y
P0235,61.960,59.900
P0236,64.627,52.885
P0237,45.171,41.641
P0238,73.678,75.963
P0239,91.848,76.513
P0240,31.152,25.789
P0241,47.360,43.503
P0242,47.472,38.407
P0243,58.285,53.753
P0244,95.206,94.187
P0245,50.009,42.660
P0246,47.216,47.801
P0247,53.982,42.732
P0248,5.464,14.158
P0249,16.436,15.418
P0250,6.378,6.588
P0251,15.465,20.539
P0252,49.528,38.383
P0253,4.411,13.063
P0254,60.532,64.588
P0255,90.209,82.174
P0256,12.193,19.230
P0257,80.440,62.004
P0258,83.102,62.602
P0259,62.873,56.313
P0260,12.428,14.924
P0261,27.865,19.406
P0262,5.136,11.641
P0263,59.466,55.712
P0264,1.289,6.737
P0265,25.075,27.533
P0266,30.053,23.506
P0267,52.034,54.357
P0268,21.194,19.708
P0269,32.279,28.896
P0270,49.910,51.384
P0271,52.251,39.455
P0272,83.863,79.674
P0273,5.488,10.906
P0274,77.845,71.847
P0275,76.169,68.059
P0276,11.369,7.879
P0277,85.120,89.614
P0278,57.329,58.972
P0279,46.457,46.207
P0280,23.974,23.413
P0281,18.544,18.086
P0282,92.818,84.088
P0283,38.477,30.363
P0284,80.156,86.560
P0285,6.123,13.165
P0286,90.895,83.028
P0287,96.451,80.374
P0288,39.233,36.671
P0289,4.949,3.787
P0290,30.521,22.743
P0291,45.651,41.096
P0292,63.409,59.118
P0293,49.449,47.375
P0294,42.082,32.396
P0295,49.742,55.395
P0296,33.146,23.681
P0297,66.401,57.910
P0298,48.080,45.566
P0299,56.593,52.401
P0300,32.594,34.597
P0301,5.305,3.389
P0302,84.957,73.691
P0303,48.285,38.382
P0304,52.977,48.966
P0305,85.399,72.443
P0306,63.205,58.657
P0307,39.629,33.265
P0308,50.053,35.792
P0309,51.118,43.868
P0310,41.686,33.361
P0311,24.789,17.944
P0312,6.050,-5.362
P0313,41.364,39.806
P0314,60.695,49.600
P0315,27.249,25.497
P0316,13.901,13.529
P0317,69.289,49.831
P0318,9.262,8.133
P0319,64.672,59.546
P0320,6.101,2.638
P0321,36.248,25.390
P0322,26.621,20.947
P0323,87.832,67.307
P0324,11.459,21.058
P0325,58.523,54.428
P0326,72.044,55.829
P0327,91.758,78.611
P0328,30.844,38.887
P0329,89.706,68.652
P0330,49.191,35.491
P0331,45.670,38.998
P0332,39.753,31.829
P0333,90.297,78.029
P0334,18.758,18.459
P0335,62.585,63.794
P0336,34.440,31.037
P0337,61.912,55.929
P0338,32.887,36.065
P0339,34.690,25.444
P0340,94.896,80.823
P0341,0.142,-7.606
P0342,32.426,28.278
P0343,13.159,8.180
P0344,19.172,11.913
P0345,85.562,72.684
P0346,59.099,54.676
P0347,41.195,31.416
P0348,62.658,57.422
P0349,54.671,46.282
P0350,50.819,44.559
P0351,56.768,50.026
P0352,65.055,65.744
P0353,38.041,42.044
P0354,96.847,83.888
P0355,82.335,78.728
P0356,55.693,54.123
P0357,17.970,20.352
P0358,76.139,68.108
P0359,39.961,47.579
P0360,22.495,16.049
P0361,7.195,11.767
P0362,28.332,20.993
P0363,91.898,88.473
P0364,1.046,-1.399
P0365,6.539,20.111
P0366,50.312,40.876
P0367,26.091,23.943
P0368,61.395,56.704
P0369,88.726,83.097
P0370,38.799,28.074
P0371,48.404,54.738
P0372,27.201,21.338
P0373,10.939,27.740
P0374,48.354,46.073
P0375,82.782,86.544
P0376,40.387,31.829
P0377,29.797,29.962
P0378,68.091,58.555
P0379,37.382,35.533
P0380,39.980,35.221
P0381,93.850,74.336
P0382,68.562,48.968
P0383,80.260,68.580
P0384,73.998,64.652
P0385,52.735,52.085
P0386,95.678,83.128
P0387,60.752,66.750
P0388,43.108,33.316
P0389,32.482,34.898
P0390,64.774,52.706
P0391,15.515,7.564
P0392,22.628,19.916
P0393,79.600,67.867
P0394,77.002,66.422
P0395,57.608,46.632
P0396,14.659,18.400
P0397,75.281,77.392
P0398,2.733,15.408
P0399,12.921,15.814
P0400,2.969,10.973
P0401,40.268,41.160
P0402,5.619,11.238
P0403,3.134,3.719
P0404,50.421,49.795
P0405,35.713,31.730
P0406,76.620,74.034
P0407,11.178,16.804
P0408,24.021,30.972
P0409,77.262,55.962
P0410,31.504,25.054
P0411,22.102,20.207
P0412,95.588,84.993
P0413,78.380,70.864
P0414,35.216,39.880
P0415,63.758,64.972
P0416,96.304,81.172
P0417,98.237,85.163
P0418,67.136,59.217
P0419,77.972,66.070
P0420,97.418,89.049
P0421,95.085,94.266
P0422,54.620,49.385
P0423,36.175,42.056
P0424,31.102,35.475
P0425,29.288,34.919
P0426,50.542,43.828
P0427,70.290,56.955
P0428,11.670,12.492
P0429,76.105,75.943
P0430,9.197,1.176
P0431,92.810,85.900
P0432,64.739,53.258
P0433,59.025,59.325
P0434,78.311,66.646
P0435,37.972,28.722
P0436,7.952,18.450
P0437,9.642,13.018
P0438,63.802,53.200
P0439,18.495,19.000
P0440,55.307,44.165
P0441,4.199,12.249
P0442,36.469,35.588
P0443,64.462,51.808
P0444,60.707,48.617
P0445,84.879,79.586
P0446,45.851,44.085
P0447,94.271,77.025
P0448,81.096,67.937
P0449,19.410,21.805
P0450,16.658,21.372
P0451,89.553,78.005
P0452,76.986,73.535
P0453,54.497,52.933
P0454,60.361,53.780
P0455,71.703,68.383
P0456,86.403,77.048
P0457,30.514,31.051
P0458,2.958,6.433
P0459,60.003,52.722
P0460,63.540,55.761
P0461,52.383,51.367
P0462,65.625,65.104
P0463,35.203,28.775
P0464,44.094,32.091
P0465,81.445,69.703
P0466,41.134,36.668
P0467,85.008,76.869
P0468,43.909,40.611
P0469,23.681,14.704
P0470,34.775,30.407
P0471,19.405,23.493
P0472,28.779,23.975
P0473,87.197,82.140
P0474,10.216,17.562
P0475,20.626,28.485
P0476,99.609,85.866
P0477,33.040,25.679
P0478,91.558,77.615
P0479,5.777,16.681
P0480,51.066,46.461
P0481,91.151,75.300
P0482,8.527,1.346
P0483,32.403,33.405
P0484,96.718,81.261
P0485,80.449,72.725
P0486,85.449,69.861
P0487,3.208,3.599
P0488,52.549,40.681
P0489,21.019,25.602
P0490,0.837,-4.732
P0491,14.032,11.219
P0492,33.690,25.448
P0493,45.337,43.358
P0494,11.188,14.857
P0495,85.462,81.257
P0496,98.986,86.753
P0497,37.402,36.499
P0498,82.788,82.553
P0499,83.498,79.640
P0500,57.953,62.479
P0501,38.372,30.141
P0502,43.987,39.308
P0503,58.507,64.619
P0504,58.979,53.058
P0505,69.987,56.409
P0506,28.067,30.669
P0507,79.528,65.856
P0508,13.584,11.021
P0509,58.760,46.444
P0510,61.603,64.185
P0511,79.992,75.270
P0512,10.979,21.597
P0513,15.930,13.477
P0514,96.047,89.443
P0515,56.332,48.296
P0516,17.198,14.512
P0517,75.917,83.573
P0518,55.417,58.989
P0519,22.847,23.947
P0520,29.887,29.800
P0521,6.965,8.007
P0522,13.617,19.271
P0523,57.424,61.992
P0524,58.056,50.418
P0525,94.505,84.918
P0526,3.295,13.226
P0527,42.695,44.585
P0528,27.955,36.682
P0529,5.532,7.395
P0530,93.984,85.468
P0531,31.658,29.285
P0532,97.774,86.101
P0533,74.128,75.390
P0534,84.718,68.596
P0535,68.087,57.967
P0536,91.966,84.539
P0537,40.528,38.475
P0538,93.896,71.243
P0539,87.768,77.160
P0540,91.793,87.829
P0541,27.373,26.804
P0542,87.013,75.584
P0543,84.816,72.207
P0544,20.380,25.834
P0545,72.547,63.614
P0546,64.364,55.209
P0547,41.568,39.757
P0548,91.244,82.986
P0549,72.750,68.280
P0550,18.247,17.772
P0551,39.003,36.567
P0552,26.416,32.410
P0553,32.106,38.382
P0554,56.212,47.916
P0555,64.939,58.892
P0556,85.146,82.768
P0557,7.424,7.343
P0558,83.366,81.471
P0559,11.210,14.998
P0560,43.715,48.386
P0561,2.688,-8.405
P0562,36.056,31.986
P0563,74.892,55.713
P0564,32.931,32.040
P0565,17.190,19.497
P0566,39.299,40.874
P0567,85.261,72.830
P0568,48.816,46.618
P0569,72.551,56.438
P0570,44.273,53.502
P0571,64.404,53.953
P0572,88.447,89.034
P0573,26.871,31.489
P0574,90.331,72.511
P0575,65.126,58.358
P0576,0.554,2.736
P0577,96.800,78.462
P0578,52.179,48.144
P0579,8.111,14.103
P0580,55.619,50.772
P0581,65.508,53.548
P0582,61.305,59.705
P0583,72.283,71.160
P0584,44.425,36.431
P0585,3.962,1.905
P0586,71.780,67.476
P0587,80.338,85.683
P0588,48.304,51.279
P0589,9.328,9.973
P0590,51.622,42.165
P0591,66.845,65.234
P0592,59.135,55.286
P0593,1.967,6.714
P0594,22.872,25.798
P0595,44.479,39.336
P0596,34.897,36.530
P0597,68.487,59.037
P0598,63.283,53.832
P0599,55.818,39.073
P0600,34.621,17.232
P0601,57.191,56.622
P0602,84.358,84.981
P0603,24.480,30.176
P0604,91.514,82.158
P0605,16.741,20.942
P0606,93.183,81.924
P0607,79.855,70.632
P0608,22.859,29.252
P0609,10.095,5.637
P0610,15.656,17.036
P0611,95.901,77.485
P0612,71.968,65.973
P0613,29.750,22.578
P0614,20.855,19.081
P0615,93.526,77.398
P0616,31.291,27.316
P0617,15.967,20.386
P0618,13.624,14.926
P0619,53.275,37.851
P0620,26.719,17.042
P0621,39.283,35.302
P0622,98.803,90.888
P0623,20.671,24.311
P0624,71.058,59.790
P0625,16.782,26.145
P0626,1.420,7.546
P0627,62.016,55.632
P0628,32.595,24.026
P0629,0.765,0.607
P0630,70.424,64.867
P0631,27.265,17.028
P0632,47.517,39.808
P0633,45.941,36.290
P0634,98.380,94.218
P0635,30.146,28.045
P0636,11.936,27.664
P0637,13.530,17.499
P0638,28.788,27.130
P0639,89.538,76.933
